entry_time,exit_time,pnl_pct,pnl_dollar,risk_pct,exit_reason,month
2025-09-12 14:45:00,2025-09-12 16:15:00,-0.8312323969662125,-1.5769933321343241,3.0,SL,2025-09
2025-09-12 19:15:00,2025-09-12 22:30:00,-0.8351532314190365,-1.0154824642068339,2.0,SL,2025-09
2025-09-13 01:45:00,2025-09-13 10:00:00,-0.6377425808264239,-1.0256017828636648,2.0,SL,2025-09
2025-09-13 10:45:00,2025-09-13 13:45:00,2.4877693001941554,2.0781441913688927,2.0,TP,2025-09
2025-09-16 08:45:00,2025-09-16 13:15:00,-0.5566669565973706,-1.606022393726166,3.0,SL,2025-09
2025-09-17 23:45:00,2025-09-19 03:30:00,1.9649255534890517,2.0773904770712632,2.0,TP,2025-09
2025-09-23 00:45:00,2025-09-23 02:00:00,1.3974168960406557,3.192883592639605,3.0,TP,2025-09
2025-09-23 07:45:00,2025-09-23 09:15:00,-0.6987880133557454,-2.522909333016832,4.5,SL,2025-09
2025-09-24 02:15:00,2025-09-24 03:15:00,1.7227204937639085,2.4650140511114595,2.25,TP,2025-09
2025-09-26 17:15:00,2025-09-26 17:30:00,-0.8719066546993168,-1.8429706574688942,3.375,SL,2025-09
2025-09-26 18:45:00,2025-09-28 06:15:00,1.8079805790630652,2.2268730904030187,2.0,TP,2025-09
2025-09-30 22:45:00,2025-10-01 00:00:00,-0.6527060103345088,-1.7080841272839793,3.0,SL,2025-09
2025-10-01 00:30:00,2025-10-01 08:30:00,-0.6440455602600021,-1.101291142101379,2.0,SL,2025-10
2025-10-01 09:00:00,2025-10-01 12:00:00,-0.8121707912779873,-1.0459133934421114,2.0,SL,2025-10
2025-10-01 12:45:00,2025-10-01 18:45:00,-1.2646153461655458,-0.9823180929939977,2.0,SL,2025-10
2025-10-01 22:00:00,2025-10-01 22:00:00,-0.8747000384933442,-0.9925144298266138,2.0,SL,2025-10
2025-10-01 23:15:00,2025-10-08 03:15:00,7.379760793960479,2.147590318350866,2.0,TP,2025-10
2025-10-08 09:00:00,2025-10-08 14:00:00,-0.6724654630509519,-1.5745118148352868,3.0,SL,2025-10
2025-10-08 14:30:00,2025-10-08 16:15:00,-0.8589557459852707,-0.9850155509924419,2.0,SL,2025-10
2025-10-08 18:45:00,2025-10-09 02:30:00,1.8937664513516421,2.0426210049716973,2.0,TP,2025-10
2025-10-10 04:00:00,2025-10-10 04:00:00,-0.7171334310250251,-1.5441463503749222,3.0,SL,2025-10
2025-10-10 14:00:00,2025-10-10 14:45:00,1.6754486074351043,2.051218993116181,2.0,TP,2025-10
2025-10-12 08:45:00,2025-10-12 14:45:00,-0.9288043547220592,-1.5179305611247773,3.0,SL,2025-10
2025-10-12 22:30:00,2025-10-13 00:00:00,-1.352936487148252,-0.9485156467817539,2.0,SL,2025-10
2025-10-13 03:00:00,2025-10-13 11:15:00,4.597841061874433,2.113663821686473,2.0,TP,2025-10
2025-10-13 23:30:00,2025-10-14 02:15:00,2.0252099910359505,3.231650177954065,3.0,TP,2025-10
2025-10-14 15:00:00,2025-10-14 15:30:00,-1.4280380810154858,-2.338146374033629,4.5,SL,2025-10
2025-10-14 16:45:00,2025-10-15 11:15:00,4.74492485785067,2.5450988266859875,2.25,TP,2025-10
