open,close,high,low,volume,time,timestamp
0.14544,0.14583,0.14583,0.14527,2909207,1765367100000,2025-12-10 11:45:00
0.14581,0.14533,0.14583,0.14527,2518466,1765368000000,2025-12-10 12:00:00
0.14531,0.14529,0.14561,0.14520,3390409,1765368900000,2025-12-10 12:15:00
0.14527,0.14531,0.14546,0.14496,4166714,1765369800000,2025-12-10 12:30:00
0.14531,0.14571,0.14580,0.14510,3400539,1765370700000,2025-12-10 12:45:00
0.14569,0.14572,0.14591,0.14547,2990354,1765371600000,2025-12-10 13:00:00
0.14570,0.14634,0.14652,0.14563,4894239,1765372500000,2025-12-10 13:15:00
0.14634,0.14590,0.14655,0.14569,9049839,1765373400000,2025-12-10 13:30:00
0.14592,0.14590,0.14614,0.14578,4561411,1765374300000,2025-12-10 13:45:00
0.14592,0.14551,0.14592,0.14546,2612627,1765375200000,2025-12-10 14:00:00
0.14551,0.14542,0.14561,0.14531,3016382,1765376100000,2025-12-10 14:15:00
0.14540,0.14506,0.14582,0.14496,5280905,1765377000000,2025-12-10 14:30:00
0.14506,0.14543,0.14544,0.14473,10898103,1765377900000,2025-12-10 14:45:00
0.14539,0.14576,0.14600,0.14522,4501374,1765378800000,2025-12-10 15:00:00
0.14574,0.14528,0.14576,0.14507,2453556,1765379700000,2025-12-10 15:15:00
0.14528,0.14518,0.14539,0.14445,8786804,1765380600000,2025-12-10 15:30:00
0.14511,0.14510,0.14525,0.14475,2898637,1765381500000,2025-12-10 15:45:00
0.14510,0.14529,0.14550,0.14483,4184713,1765382400000,2025-12-10 16:00:00
0.14531,0.14583,0.14609,0.14523,4881354,1765383300000,2025-12-10 16:15:00
0.14585,0.14556,0.14585,0.14529,3085554,1765384200000,2025-12-10 16:30:00
0.14556,0.14574,0.14615,0.14541,4389132,1765385100000,2025-12-10 16:45:00
0.14574,0.14560,0.14579,0.14525,2797479,1765386000000,2025-12-10 17:00:00
0.14560,0.14616,0.14674,0.14545,5927527,1765386900000,2025-12-10 17:15:00
0.14615,0.14623,0.14629,0.14569,3274919,1765387800000,2025-12-10 17:30:00
0.14621,0.14605,0.14633,0.14575,2341869,1765388700000,2025-12-10 17:45:00
0.14605,0.14620,0.14639,0.14568,2719908,1765389600000,2025-12-10 18:00:00
0.14611,0.14622,0.14646,0.14565,4080735,1765390500000,2025-12-10 18:15:00
0.14613,0.14730,0.14847,0.14613,18964954,1765391400000,2025-12-10 18:30:00
0.14730,0.14682,0.14783,0.14616,10120309,1765392300000,2025-12-10 18:45:00
0.14688,0.14795,0.14922,0.14541,40574968,1765393200000,2025-12-10 19:00:00
0.14799,0.14669,0.14836,0.14644,9948650,1765394100000,2025-12-10 19:15:00
0.14667,0.14683,0.14850,0.14652,18441398,1765395000000,2025-12-10 19:30:00
0.14678,0.14746,0.14767,0.14663,8346289,1765395900000,2025-12-10 19:45:00
0.14744,0.14990,0.14993,0.14683,13567636,1765396800000,2025-12-10 20:00:00
0.14990,0.14813,0.15025,0.14729,28071911,1765397700000,2025-12-10 20:15:00
0.14813,0.14841,0.14870,0.14788,8338785,1765398600000,2025-12-10 20:30:00
0.14841,0.14612,0.14843,0.14554,14477459,1765399500000,2025-12-10 20:45:00
0.14612,0.14590,0.14672,0.14506,12192126,1765400400000,2025-12-10 21:00:00
0.14590,0.14562,0.14644,0.14559,6955298,1765401300000,2025-12-10 21:15:00
0.14560,0.14541,0.14580,0.14501,6437412,1765402200000,2025-12-10 21:30:00
0.14539,0.14445,0.14564,0.14430,4516346,1765403100000,2025-12-10 21:45:00
0.14445,0.14333,0.14515,0.14317,15025679,1765404000000,2025-12-10 22:00:00
0.14335,0.14388,0.14416,0.14229,19039091,1765404900000,2025-12-10 22:15:00
0.14386,0.14442,0.14459,0.14337,5091973,1765405800000,2025-12-10 22:30:00
0.14442,0.14429,0.14463,0.14386,2814051,1765406700000,2025-12-10 22:45:00
0.14422,0.14438,0.14473,0.14397,4861000,1765407600000,2025-12-10 23:00:00
0.14446,0.14400,0.14459,0.14396,2544180,1765408500000,2025-12-10 23:15:00
0.14405,0.14369,0.14405,0.14351,5481739,1765409400000,2025-12-10 23:30:00
0.14367,0.14323,0.14369,0.14314,2519213,1765410300000,2025-12-10 23:45:00
0.14325,0.14337,0.14351,0.14304,5495961,1765411200000,2025-12-11 00:00:00
0.14339,0.14287,0.14342,0.14285,2908661,1765412100000,2025-12-11 00:15:00
0.14285,0.14176,0.14287,0.14133,13690647,1765413000000,2025-12-11 00:30:00
0.14174,0.14113,0.14187,0.14057,11233612,1765413900000,2025-12-11 00:45:00
0.14111,0.14006,0.14118,0.13983,8521569,1765414800000,2025-12-11 01:00:00
0.14003,0.14045,0.14050,0.13936,10662410,1765415700000,2025-12-11 01:15:00
0.14046,0.14020,0.14099,0.14011,6527749,1765416600000,2025-12-11 01:30:00
0.14018,0.13962,0.14023,0.13949,4013902,1765417500000,2025-12-11 01:45:00
0.13962,0.13866,0.13967,0.13846,10044652,1765418400000,2025-12-11 02:00:00
0.13868,0.13872,0.13933,0.13806,11319002,1765419300000,2025-12-11 02:15:00
0.13874,0.13893,0.13926,0.13842,6381659,1765420200000,2025-12-11 02:30:00
0.13895,0.13844,0.13895,0.13831,4453775,1765421100000,2025-12-11 02:45:00
0.13846,0.13791,0.13848,0.13733,12001000,1765422000000,2025-12-11 03:00:00
0.13791,0.13750,0.13822,0.13750,9581442,1765422900000,2025-12-11 03:15:00
0.13751,0.13771,0.13780,0.13710,8173987,1765423800000,2025-12-11 03:30:00
0.13771,0.13798,0.13816,0.13745,8169757,1765424700000,2025-12-11 03:45:00
0.13800,0.13810,0.13838,0.13739,8600879,1765425600000,2025-12-11 04:00:00
0.13808,0.13796,0.13824,0.13782,4425407,1765426500000,2025-12-11 04:15:00
0.13796,0.13826,0.13839,0.13787,4001030,1765427400000,2025-12-11 04:30:00
