coin,signal_time,entry_time,exit_time,sl_dist_pct,pnl_pct,result,equity_before,position_size,pnl_dollar,equity_after,month
MOODENG,2025-08-15 05:45:00,2025-08-15 12:30:00,2025-08-17 16:00:00,2.1214858186952283,-2.1214858186952283,LOSS,887.2116175591718,2091.0147259547352,-46.45159560391333,840.7600219552585,2025-08
DOGE,2025-08-17 16:00:00,2025-08-17 18:15:00,2025-08-18 06:30:00,3.034592521595679,6.0,WIN,840.7600219552585,1385.2931093252053,81.73229345018711,922.4923154054457,2025-08
MOODENG,2025-08-17 16:00:00,2025-08-17 17:45:00,2025-08-18 06:30:00,2.4532714333794834,8.0,WIN,922.4923154054457,1880.1268845630225,148.53002388047878,1071.0223392859243,2025-08
FARTCOIN,2025-08-17 16:15:00,2025-08-17 22:30:00,2025-08-19 03:30:00,3.151999999999994,10.0,WIN,1071.0223392859243,1698.9567564814824,168.19671889166676,1239.219058177591,2025-08
MOODENG,2025-08-19 11:45:00,2025-08-19 13:30:00,2025-08-21 02:00:00,0.9838712421847138,-0.9838712421847138,LOSS,1239.219058177591,6297.66886684212,-68.25862177572168,1170.9604364018694,2025-08
MELANIA,2025-08-22 18:30:00,2025-08-22 22:15:00,2025-08-25 00:30:00,0.5430898956695677,10.0,WIN,1170.9604364018694,10780.53970197889,1067.2734304959104,2238.23386689778,2025-08
DOGE,2025-08-22 21:45:00,2025-08-23 00:30:00,2025-08-24 18:45:00,1.064153274322357,-1.064153274322357,LOSS,2238.23386689778,10516.501339165952,-122.42819468405496,2115.805672213725,2025-08
FARTCOIN,2025-08-22 21:45:00,2025-08-23 05:45:00,2025-08-25 10:15:00,1.793990788800353,10.0,WIN,2115.805672213725,5896.9245701327445,583.7955324431417,2699.6012046568667,2025-08
FARTCOIN,2025-08-24 00:30:00,2025-08-24 01:00:00,2025-08-24 18:15:00,1.1738811445341264,-1.1738811445341264,LOSS,2699.6012046568667,11498.613881085239,-146.47867411392858,2553.122530542938,2025-08
MELANIA,2025-08-24 19:00:00,2025-08-24 19:30:00,2025-08-25 20:00:00,2.4072091115159524,10.0,WIN,2553.122530542938,5303.075911288604,525.0045152175719,3078.1270457605096,2025-08
MOODENG,2025-08-24 19:15:00,2025-08-24 19:30:00,2025-08-25 07:45:00,3.129910948140393,8.0,WIN,3078.1270457605096,4917.275757620756,388.4647848520397,3466.5918306125495,2025-08
FARTCOIN,2025-08-24 19:15:00,2025-08-24 19:30:00,2025-08-25 16:00:00,2.9564008518693776,10.0,WIN,3466.5918306125495,5862.8582595972575,580.4229677001285,4047.014798312678,2025-08
DOGE,2025-08-24 19:15:00,2025-08-24 19:30:00,2025-08-25 06:45:00,3.496276389283781,6.0,WIN,4047.014798312678,5787.6070820901505,341.46881784331885,4388.483616155997,2025-08
MOODENG,2025-08-26 20:00:00,2025-08-27 01:45:00,2025-09-01 02:45:00,1.759026823597655,8.0,WIN,4388.483616155997,12474.180487994032,985.4602585515286,5373.9438747075255,2025-08
DOGE,2025-08-27 04:00:00,2025-08-27 08:45:00,2025-08-27 18:00:00,2.14697969812021,-2.14697969812021,LOSS,5373.9438747075255,12515.125036842888,-281.2123187722192,5092.7315559353065,2025-08
MOODENG,2025-08-30 08:00:00,2025-08-30 13:00:00,2025-09-01 17:30:00,1.5851250093352667,8.0,WIN,5092.7315559353065,16064.13224806471,1269.0664475971123,6361.798003532419,2025-08
FARTCOIN,2025-08-31 00:45:00,2025-08-31 10:45:00,2025-09-01 20:30:00,1.9700508809097061,10.0,WIN,6361.798003532419,16146.278416410101,1598.4815632246002,7960.279566757019,2025-08
DOGE,2025-08-31 03:45:00,2025-08-31 05:00:00,2025-09-01 21:30:00,1.1225978143489346,6.0,WIN,7960.279566757019,35454.72592681685,2091.828829682194,10052.108396439213,2025-08
DOGE,2025-09-01 07:45:00,2025-09-01 20:30:00,2025-09-03 17:30:00,4.450942280523231,-4.450942280523231,LOSS,10052.108396439213,11292.11272905738,-513.897532551018,9538.210863888195,2025-09
FARTCOIN,2025-09-02 09:45:00,2025-09-02 13:00:00,2025-09-02 14:00:00,3.104578258481239,-3.104578258481239,LOSS,9538.210863888195,15361.524287286435,-492.2720674816962,9045.938796406499,2025-09
DOGE,2025-09-03 20:00:00,2025-09-04 01:30:00,2025-09-07 14:30:00,2.029446149349702,-2.029446149349702,LOSS,9045.938796406499,22286.71797796926,-474.5836577982942,8571.355138608205,2025-09
DOGE,2025-09-05 13:30:00,2025-09-05 14:15:00,2025-09-07 14:00:00,1.640989750720586,-1.640989750720586,LOSS,8571.355138608205,26116.418871124515,-454.68417580153476,8116.670962806671,2025-09
MOODENG,2025-09-05 13:45:00,2025-09-05 14:15:00,2025-09-07 13:00:00,1.2941568300078299,-1.2941568300078299,LOSS,8116.670962806671,31358.915606687187,-437.1924637470207,7679.47849905965,2025-09
MELANIA,2025-09-05 13:45:00,2025-09-05 14:15:00,2025-09-05 22:45:00,1.5611034975868507,-1.5611034975868507,LOSS,7679.47849905965,24596.314436968998,-408.57023938995155,7270.908259669698,2025-09
DOGE,2025-09-07 15:30:00,2025-09-07 18:30:00,2025-09-07 22:00:00,1.6521845235289834,-1.6521845235289834,LOSS,7270.908259669698,22003.923157866782,-385.5493361413517,6885.358923528346,2025-09
MELANIA,2025-09-07 22:45:00,2025-09-09 17:00:00,2025-09-12 05:15:00,4.757820676822884,-4.757820676822884,LOSS,6885.358923528346,7235.832738578709,-351.5037789149961,6533.85514461335,2025-09
MOODENG,2025-09-08 10:30:00,2025-09-08 11:00:00,2025-09-08 13:00:00,1.3784756147101134,-1.3784756147101134,LOSS,6533.85514461335,23699.567387658823,-350.3923246183263,6183.462819995023,2025-09
FARTCOIN,2025-09-08 14:30:00,2025-09-08 21:15:00,2025-09-09 00:00:00,1.995971111638914,-1.995971111638914,LOSS,6183.462819995023,15489.860509348038,-324.6630015090992,5858.799818485923,2025-09
FARTCOIN,2025-09-09 07:15:00,2025-09-09 13:30:00,2025-09-10 08:15:00,2.5483783047151842,-2.5483783047151842,LOSS,5858.799818485923,11495.153226751247,-304.43514415104744,5554.364674334876,2025-09
MOODENG,2025-09-09 07:15:00,2025-09-09 11:15:00,2025-09-12 00:30:00,2.751063153175045,-2.751063153175045,LOSS,5554.364674334876,10094.942146138117,-287.81317586288196,5266.551498471994,2025-09
DOGE,2025-09-09 12:15:00,2025-09-09 14:30:00,2025-09-11 03:15:00,2.9276477275473063,-2.9276477275473063,LOSS,5266.551498471994,8994.510249503532,-272.32208517310323,4994.229413298891,2025-09
MELANIA,2025-09-10 07:15:00,2025-09-10 09:00:00,2025-09-10 23:00:00,1.682264454268815,-1.682264454268815,LOSS,4994.229413298891,14843.770254509716,-264.55524091945426,4729.674172379437,2025-09
MOODENG,2025-09-10 14:30:00,2025-09-10 16:30:00,2025-09-11 03:15:00,1.1615417182820371,-1.1615417182820371,LOSS,4729.674172379437,20359.46749882905,-256.8431761178009,4472.830996261636,2025-09
FARTCOIN,2025-09-10 15:30:00,2025-09-10 17:15:00,2025-09-12 00:15:00,1.8966951157476555,-1.8966951157476555,LOSS,4472.830996261636,11791.11750519402,-235.43266731827583,4237.39832894336,2025-09
DOGE,2025-09-11 12:15:00,2025-09-11 12:30:00,2025-09-11 22:00:00,1.3145273495491856,-1.3145273495491856,LOSS,4237.39832894336,16117.573857997579,-227.98749030516558,4009.4108386381945,2025-09
FARTCOIN,2025-09-12 00:45:00,2025-09-12 10:00:00,2025-09-13 10:15:00,3.437019816405673,-3.437019816405673,LOSS,4009.4108386381945,5832.685077200268,-206.30322700911,3803.1076116290847,2025-09
MOODENG,2025-09-12 07:15:00,2025-09-12 08:00:00,2025-09-12 16:15:00,1.6840693553022386,-1.6840693553022386,LOSS,3803.1076116290847,11291.422172296889,-201.44680275375111,3601.6608088753337,2025-09
FARTCOIN,2025-09-13 13:15:00,2025-09-13 13:45:00,2025-09-15 07:30:00,2.6387075841149445,10.0,WIN,3601.6608088753337,6824.668315953956,675.6421632794417,4277.3029721547755,2025-09
DOGE,2025-09-13 13:30:00,2025-09-13 13:45:00,2025-09-14 14:30:00,3.973347177444575,6.0,WIN,4277.3029721547755,5382.493375403565,317.5671091488103,4594.870081303586,2025-09
DOGE,2025-09-16 22:00:00,2025-09-17 02:00:00,2025-09-17 17:30:00,1.35284808441482,-1.35284808441482,LOSS,4594.870081303586,16982.21010266321,-246.7257141678425,4348.144367135743,2025-09
FARTCOIN,2025-09-16 22:00:00,2025-09-17 02:15:00,2025-09-17 19:30:00,0.9499085491769428,-0.9499085491769428,LOSS,4348.144367135743,22887.173564777546,-240.29439192156474,4107.849975214178,2025-09
DOGE,2025-09-18 00:00:00,2025-09-18 02:00:00,2025-09-18 15:45:00,1.632089335630296,-1.632089335630296,LOSS,4107.849975214178,12584.63579638479,-217.9771345570937,3889.872840657084,2025-09
DOGE,2025-09-18 16:00:00,2025-09-18 21:15:00,2025-09-19 18:00:00,2.774912988378778,6.0,WIN,3889.872840657084,7008.999664039399,413.53098017832457,4303.403820835409,2025-09
