trade_num,signal_time,entry_time,exit_time,rsi_at_signal,swing_low,limit_price,entry_price,sl_price,tp_price,sl_dist_pct,size,exit_type,pnl_pct,pnl_dollar,equity_before,equity_after
63,2025-10-25 18:15:00,2025-10-26 03:15:00,2025-10-26 06:45:00,73.0759,0.3834,0.3858,0.3858,0.3955,0.3472,2.5200,5354.6349,SL,-2.5200,-140.2888,2698.6828,2558.3941
64,2025-10-26 09:15:00,2025-10-26 11:15:00,2025-10-26 18:15:00,71.8938,0.4011,0.4050,0.4050,0.4129,0.3645,1.9398,6594.3770,SL,-1.9398,-134.5141,2558.3941,2423.8800
65,2025-10-27 17:30:00,2025-10-28 01:15:00,2025-10-28 20:15:00,72.8783,0.4017,0.4057,0.4057,0.4279,0.3651,5.4813,2211.0411,TP,10.0000,218.8931,2423.8800,2642.7731
66,2025-10-29 14:00:00,2025-10-29 15:30:00,2025-10-29 17:30:00,71.4246,0.3730,0.3775,0.3775,0.3830,0.3398,1.4493,9117.5670,SL,-1.4493,-141.2562,2642.7731,2501.5168
67,2025-11-01 13:15:00,2025-11-01 14:00:00,2025-11-01 16:45:00,72.8117,0.3350,0.3385,0.3385,0.3423,0.3047,1.1183,11184.1402,SL,-1.1183,-136.2600,2501.5168,2365.2569
68,2025-11-07 08:00:00,2025-11-07 09:45:00,2025-11-07 15:00:00,73.2692,0.2684,0.2709,0.2709,0.2758,0.2438,1.7927,6596.9796,SL,-1.7927,-124.8598,2365.2569,2240.3970
69,2025-11-09 02:00:00,2025-11-09 02:45:00,2025-11-09 13:30:00,72.3731,0.2932,0.2974,0.2974,0.3109,0.2676,4.5569,2458.2364,SL,-4.5569,-114.4781,2240.3970,2125.9189
70,2025-11-09 20:30:00,2025-11-11 06:00:00,2025-11-12 00:00:00,71.2832,0.3137,0.3195,0.3195,0.3499,0.2875,9.5222,1116.2946,TP,10.0000,110.5132,2125.9189,2236.4321
71,2025-11-12 10:00:00,2025-11-12 14:45:00,2025-11-12 17:15:00,71.3457,0.3006,0.3041,0.3041,0.3100,0.2737,1.9402,5763.5509,TP,10.0000,570.5915,2236.4321,2807.0236
72,2025-11-16 10:30:00,2025-11-16 11:15:00,2025-11-17 08:00:00,70.1040,0.2450,0.2477,0.2477,0.2534,0.2229,2.3159,6060.2697,SL,-2.3159,-146.4115,2807.0236,2660.6122
73,2025-11-18 06:00:00,2025-11-18 09:00:00,2025-11-18 16:15:00,77.7177,0.2487,0.2526,0.2526,0.2621,0.2274,3.7521,3545.5114,SL,-3.7521,-136.5761,2660.6122,2524.0361
74,2025-11-20 09:00:00,2025-11-20 10:15:00,2025-11-20 11:00:00,70.0204,0.2940,0.2977,0.2977,0.3015,0.2680,1.2594,10020.4232,SL,-1.2594,-136.2222,2524.0361,2387.8138
75,2025-11-22 20:15:00,2025-11-22 20:30:00,2025-11-22 22:45:00,72.2184,0.2006,0.2054,0.2054,0.2135,0.1849,3.9363,3033.0720,SL,-3.9363,-122.4238,2387.8138,2265.3901
76,2025-11-23 04:00:00,2025-11-23 05:45:00,2025-11-24 02:15:00,73.5149,0.2267,0.2317,0.2317,0.2382,0.2085,2.8212,4014.9397,SL,-2.8212,-117.2844,2265.3901,2148.1056
77,2025-11-24 20:45:00,2025-11-25 04:15:00,2025-11-25 10:45:00,70.4136,0.2730,0.2766,0.2766,0.2888,0.2489,4.4161,2432.1329,SL,-4.4161,-109.8374,2148.1056,2038.2682
78,2025-11-25 13:15:00,2025-11-25 15:15:00,2025-11-26 21:15:00,83.0940,0.2956,0.3030,0.3030,0.3193,0.2727,5.3696,1897.9695,SL,-5.3696,-103.8114,2038.2682,1934.4568
79,2025-11-28 14:45:00,2025-11-28 21:30:00,2025-11-29 17:00:00,70.4733,0.3419,0.3507,0.3507,0.3640,0.3157,3.7840,2556.1276,TP,10.0000,253.0566,1934.4568,2187.5135
80,2025-11-30 02:15:00,2025-11-30 03:30:00,2025-11-30 08:15:00,71.9671,0.3186,0.3222,0.3222,0.3303,0.2899,2.5253,4331.1422,SL,-2.5253,-113.7068,2187.5135,2073.8067
81,2025-12-01 14:45:00,2025-12-01 15:45:00,2025-12-01 18:30:00,74.6191,0.2933,0.3021,0.3021,0.3147,0.2719,4.1708,2486.0992,SL,-4.1708,-106.1764,2073.8067,1967.6302
82,2025-12-02 16:30:00,2025-12-02 22:30:00,2025-12-03 07:30:00,73.3238,0.3477,0.3604,0.3604,0.3819,0.3244,5.9509,1653.2222,TP,10.0000,163.6690,1967.6302,2131.2992
83,2025-12-06 14:30:00,2025-12-06 21:45:00,2025-12-07 06:15:00,71.9530,0.3755,0.3817,0.3817,0.4129,0.3435,8.1699,1304.3590,SL,-8.1699,-107.8693,2131.2992,2023.4299
84,2025-12-08 05:30:00,2025-12-08 15:00:00,2025-12-09 13:30:00,72.1309,0.3921,0.3984,0.3984,0.4124,0.3586,3.5048,2886.6737,TP,10.0000,285.7807,2023.4299,2309.2106
85,2025-12-10 20:30:00,2025-12-10 20:45:00,2025-12-11 00:30:00,70.4108,0.3720,0.3818,0.3818,0.3914,0.3436,2.5067,4606.0135,TP,10.0000,455.9953,2309.2106,2765.2059
86,2025-12-12 03:30:00,2025-12-12 15:15:00,2025-12-14 23:30:00,72.2786,0.3720,0.3767,0.3767,0.3952,0.3390,4.9111,2815.2786,TP,10.0000,278.7126,2765.2059,3043.9185
