rsi_trigger,limit_offset,tp_pct,activation_pct,trail_pct,trades,win_rate,total_return,max_dd,return_dd,final_equity,tp_count,trail_sl_count,initial_sl_count
28,0.15,2.5,0.4,1.0,22,27.27272727272727,-30.758996167738147,-40.99386851269337,-0.7503316296732013,69.24100383226185,3,9,10
30,0.25,1.5,0.6,1.2,27,22.22222222222222,-41.938292307456614,-55.81548415534817,-0.7513737978287901,58.061707692543386,5,5,17
30,0.25,1.5,0.4,1.2,27,22.22222222222222,-41.938292307456614,-55.81548415534817,-0.7513737978287901,58.061707692543386,5,8,14
30,0.25,1.5,0.5,1.2,27,22.22222222222222,-41.938292307456614,-55.81548415534817,-0.7513737978287901,58.061707692543386,5,7,15
28,0.2,2.0,0.6,0.8,21,19.047619047619047,-32.69233090047523,-43.412271814113204,-0.7530665762082288,67.30766909952477,2,7,12
25,0.25,2.5,0.4,1.2,19,21.052631578947366,-32.00319899490593,-42.45130044177628,-0.7538802972314038,67.99680100509407,3,8,8
30,0.15,1.5,0.4,1.0,28,25.0,-41.17182818289061,-54.52580713162429,-0.755088834971348,58.82817181710939,4,10,14
30,0.15,1.5,0.6,1.0,28,25.0,-41.17182818289061,-54.52580713162429,-0.755088834971348,58.82817181710939,4,7,17
30,0.15,1.5,0.5,1.0,28,25.0,-41.17182818289061,-54.52580713162429,-0.755088834971348,58.82817181710939,4,8,16
28,0.25,2.5,0.4,0.8,21,19.047619047619047,-29.61168167312988,-39.20277940519129,-0.7553464862036964,70.38831832687012,1,10,10
32,0.15,2.0,0.4,0.8,32,21.875,-50.58062707235981,-66.95848512534252,-0.7554027988786741,49.41937292764019,3,11,18
25,0.15,2.0,0.5,1.0,20,30.0,-27.3049327000958,-36.08202480318185,-0.7567461318769435,72.6950672999042,3,8,9
25,0.15,2.0,0.4,1.0,20,30.0,-27.3049327000958,-36.08202480318185,-0.7567461318769435,72.6950672999042,3,9,8
25,0.15,2.0,0.6,1.0,20,30.0,-27.3049327000958,-36.08202480318185,-0.7567461318769435,72.6950672999042,3,7,10
28,0.25,1.5,0.4,0.8,21,19.047619047619047,-30.157472648210103,-39.761007533617835,-0.7584685227785547,69.8425273517899,3,8,10
28,0.25,2.5,0.5,0.8,21,19.047619047619047,-30.025261678750226,-39.560005084579394,-0.758980227999368,69.97473832124977,1,9,11
32,0.15,2.0,0.5,0.8,32,21.875,-50.85929854322866,-66.9584851253425,-0.759564653352341,49.140701456771346,3,9,20
32,0.15,2.0,0.5,1.0,32,21.875,-48.28824728012457,-63.51322341814385,-0.7602865148603062,51.71175271987543,5,7,20
32,0.15,2.0,0.6,1.0,32,21.875,-48.28824728012457,-63.51322341814385,-0.7602865148603062,51.71175271987543,5,5,22
