config,regime,direction,signal_type,pnl,return_pct,leverage,size
Rolling_30day_WinrateAdaptive,WEAK_UPTREND_LOW,long,ema_pullback,-6.057029071804448,-4.965243296921463,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_LOW,short,ema_rejection,12.90883306202507,11.807817589576603,10,1.25
Rolling_30day_WinrateAdaptive,WEAK_UPTREND_HIGH,long,ema_pullback,-1.9503028003348422,-1.3713430851063704,3,1.25
Rolling_30day_WinrateAdaptive,WEAK_UPTREND_NORMAL,long,ema_pullback,4.068026932055153,3.529900332225986,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_HIGH,short,ema_rejection,5.336432152817531,4.427390791027158,3,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_NORMAL,short,ema_rejection,-24.497163481123998,-18.418956590999645,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_NORMAL,short,ema_rejection,11.604745736435907,11.038069073783369,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,support_bounce,50.855423016451475,43.05135951661629,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_NORMAL,short,breakdown,88.87884907871313,52.62535477767266,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_LOW,short,breakdown,52.30487372268409,20.440810522573734,10,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_NORMAL,short,breakdown,-147.09114665848725,-47.13914174252275,5,1.25
Rolling_30day_WinrateAdaptive,WEAK_UPTREND_HIGH,long,ema_pullback,14.573065248859898,9.10628980891719,3,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_HIGH,long,breakout,1.6226202750936434,1.1105626850937955,3,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_NORMAL,short,breakdown,-7.915205775581126,-4.201680672268912,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_NORMAL,short,ema_rejection,35.73744337579905,20.988805970149297,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_NORMAL,short,ema_rejection,-50.53572618211659,-24.137607799025197,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_HIGH,short,ema_rejection,17.92520201313513,11.609414758269722,3,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_NORMAL,short,ema_rejection,-50.26876438814872,-28.519417475728215,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,ema_pullback,-1.1496265732023243,-0.7214313197384148,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,ema_pullback,10.289490009441616,8.523774419461935,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_LOW,long,ema_pullback,38.88222468279562,29.237135660309495,10,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_LOW,short,resistance_rejection,118.04829113325587,68.5199686765858,10,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_LOW,short,breakdown,-47.26718365453074,-16.05219552609772,10,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_LOW,short,ema_rejection,-41.39593400609326,-16.79560260586318,10,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,support_bounce,-20.467646406966026,-9.923849643551442,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,ema_pullback,-31.318886366601074,-17.036124794745433,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,ema_pullback,-3.360564797613443,-2.0346256288842666,5,1.25
Rolling_30day_WinrateAdaptive,WEAK_DOWNTREND_LOW,short,breakdown,10.059855158472988,7.042253521126804,5,1.0
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,breakout,2.5170457278002405,1.8023430459597996,5,1.0
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_HIGH,long,breakout,-14.885008523875685,-9.126308104161605,3,1.0
Rolling_30day_WinrateAdaptive,WEAK_DOWNTREND_HIGH,short,breakdown,-4.69132425434903,-3.041714947856318,3,1.0
Rolling_30day_WinrateAdaptive,WEAK_DOWNTREND_NORMAL,short,ema_rejection,-25.547608754465916,-18.0448991190679,5,1.0
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_LOW,long,ema_pullback,0.21733049418132072,0.3898440623750403,3,0.5
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_LOW,long,ema_pullback,8.758730569905426,7.836490528414758,3,0.5
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,breakout,2.911392283270344,2.5582717453098693,5,1.0
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,support_bounce,-31.343763715215015,-24.60397708122683,5,1.0
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,support_bounce,9.417431837898414,10.110778969579801,5,1.0
Rolling_30day_WinrateAdaptive,WEAK_DOWNTREND_NORMAL,short,breakdown,-11.580350352066196,-10.888089377011886,5,1.0
Rolling_30day_WinrateAdaptive,WEAK_DOWNTREND_NORMAL,short,breakdown,11.492523503580754,12.576289994451589,5,1.0
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_NORMAL,short,ema_rejection,3.7337730450091633,3.77806563039724,5,1.0
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_NORMAL,short,ema_rejection,-0.3337318892775858,-0.10876658690449097,5,1.0
Rolling_30day_WinrateAdaptive,WEAK_UPTREND_HIGH,long,ema_pullback,-9.029033188552743,-8.17947617003005,3,1.0
Rolling_30day_WinrateAdaptive,WEAK_UPTREND_NORMAL,long,ema_pullback,2.261760749799212,2.49102333931778,3,0.5
Rolling_30day_WinrateAdaptive,WEAK_UPTREND_NORMAL,long,ema_pullback,-2.6617328869315675,-2.435783879539393,5,1.0
Rolling_30day_WinrateAdaptive,WEAK_UPTREND_LOW,long,ema_pullback,7.799746209982096,8.132798573975078,5,1.0
Rolling_30day_WinrateAdaptive,WEAK_UPTREND_LOW,long,ema_pullback,19.38423983421406,18.465909090909054,5,1.0
Rolling_30day_WinrateAdaptive,WEAK_UPTREND_HIGH,long,breakout,-33.08907894842044,-26.164383561643845,3,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,ema_pullback,19.850620164392726,21.67924913283006,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_LOW,long,breakout,-12.02604717945692,-10.511882998171956,10,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,breakout,-35.562329082737,-35.276392352452234,5,1.0
Rolling_30day_WinrateAdaptive,WEAK_DOWNTREND_NORMAL,short,breakdown,16.756034634490003,26.106089438629844,5,1.0
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_HIGH,long,ema_pullback,9.800853117239688,12.235046054821877,3,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,ema_pullback,-21.879903231433083,-23.781446540880502,5,1.25
Rolling_30day_WinrateAdaptive,WEAK_DOWNTREND_LOW,short,ema_rejection,-3.6697007295591773,-5.091039770004812,5,1.25
Rolling_30day_WinrateAdaptive,WEAK_DOWNTREND_LOW,short,ema_rejection,6.044615137145264,9.402121504339474,5,1.0
Rolling_30day_WinrateAdaptive,WEAK_DOWNTREND_NORMAL,short,breakdown,15.261315717289468,21.475521305530336,5,1.0
Rolling_30day_WinrateAdaptive,WEAK_DOWNTREND_HIGH,short,ema_rejection,3.05057124164451,3.7066809574848043,3,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_LOW,short,ema_rejection,12.390064238003086,13.960057811062857,10,1.25
Rolling_30day_WinrateAdaptive,STRONG_DOWNTREND_LOW,short,ema_rejection,22.252706196855545,21.923996811055172,10,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_LOW,long,breakout,11.149943966509909,9.14238527781052,10,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,ema_pullback,26.01524677234446,19.35189545561572,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_NORMAL,long,breakout,1.6415758187211167,1.2142471667566272,5,1.25
Rolling_30day_WinrateAdaptive,WEAK_DOWNTREND_NORMAL,short,breakdown,-19.64083514376147,-11.813240622857762,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_LOW,long,ema_pullback,-42.52219427358005,-29.359601188764223,10,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_LOW,long,ema_pullback,-12.644731833592584,-12.278739544835632,10,1.25
Rolling_30day_WinrateAdaptive,WEAK_DOWNTREND_LOW,short,ema_rejection,-8.616035904591472,-9.515273548767354,5,1.25
Rolling_30day_WinrateAdaptive,WEAK_DOWNTREND_NORMAL,short,ema_rejection,-10.11118298759568,-12.428018715134069,5,1.25
Rolling_30day_WinrateAdaptive,WEAK_DOWNTREND_LOW,short,ema_rejection,10.164592744967726,14.729512587038016,5,1.25
Rolling_30day_WinrateAdaptive,STRONG_UPTREND_HIGH,long,ema_pullback,2.5914193976870123,3.434307854878467,3,1.25
