concept,direction,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,exit_reason,bars_held,max_profit_pct
6_BB_Squeeze,LONG,38104,38107,0.368,0.36434285714285713,-1.0937888198757768,SL,3,0.08152173913044089
6_BB_Squeeze,LONG,38152,38160,0.3729,0.39061428571428575,4.6504118300578545,TP,8,3.3252882810404847
6_BB_Squeeze,LONG,38153,38158,0.3795,0.3737285714285714,-1.620798042537179,SL,5,0.026350461133066928
6_BB_Squeeze,LONG,38154,38334,0.3775,0.40087142857142855,6.091106906338688,TP,180,6.092715231788085
6_BB_Squeeze,SHORT,38189,38192,0.3783,0.3822285714285714,-1.1384804199237093,SL,3,0.29077451757865325
6_BB_Squeeze,SHORT,38190,38192,0.3777,0.3815142857142857,-1.1098717803245208,SL,2,0.1323801959226901
6_BB_Squeeze,SHORT,38193,38196,0.3766,0.3816,-1.4276686139139685,SL,3,0.15932023366967324
6_BB_Squeeze,LONG,38207,38211,0.3831,0.37897142857142857,-1.1776746093895658,SL,4,0.0
6_BB_Squeeze,LONG,38230,38305,0.381,0.39300000000000007,3.049606299212616,TP,75,2.887139107611551
6_BB_Squeeze,LONG,38231,38332,0.3829,0.3952428571428572,3.1235197552512806,TP,101,3.160094019326195
6_BB_Squeeze,LONG,38232,38248,0.3837,0.38065714285714286,-0.8930302691835093,SL,16,0.7036747458952399
6_BB_Squeeze,LONG,38233,38244,0.3857,0.38244285714285714,-0.9444757213230094,SL,11,0.18148820326679646
6_BB_Squeeze,LONG,38266,38289,0.3854,0.3824714285714286,-0.8598784194528923,SL,23,1.4270887389724973
6_BB_Squeeze,LONG,38271,38279,0.3889,0.3855571428571429,-0.9595672776696187,SL,8,0.5142710208279767
6_BB_Squeeze,LONG,38272,38274,0.3897,0.3862428571428571,-0.9871292935958125,SL,2,0.30792917628946226
6_BB_Squeeze,LONG,38386,38397,0.387,0.38380000000000003,-0.9268733850129148,SL,11,0.49095607235142447
6_BB_Squeeze,LONG,38387,38397,0.3878,0.3846,-0.9251676121712172,SL,10,0.28365136668386937
6_BB_Squeeze,SHORT,38432,38631,0.3708,0.3569,3.6486515641855513,TIME,199,4.503775620280472
6_BB_Squeeze,SHORT,38434,38633,0.3698,0.3572,3.3072471606273663,TIME,199,4.2455381287182234
6_BB_Squeeze,SHORT,38449,38620,0.3674,0.3564857142857143,2.870682012598179,TP,171,2.776265650517144
6_BB_Squeeze,SHORT,38450,38473,0.3671,0.36975714285714284,-0.8238199011557772,SL,23,0.3541269408880327
6_BB_Squeeze,SHORT,38454,38460,0.3664,0.3693142857142857,-0.8953836556456612,SL,6,0.13646288209607
6_BB_Squeeze,SHORT,38479,38532,0.3675,0.3588714285714286,2.247910592808537,TP,53,2.285714285714291
