entry_idx,exit_idx,entry_price,exit_price,pnl_gross,pnl_net,exit_reason,entry_rsi,entry_bb_dist,entry_atr,entry_bb_width,entry_volume_ratio,entry_hour,entry_trend_15m,entry_distance_from_sma50,hold_bars
20597,20606,4.1e-06,4.078571428571428e-06,-0.005226480836236891,-0.006226480836236891,SL,33.333333333333144,-0.17034337651561227,1.428571428571427e-08,1.6662563973268214,2.1266974792567517,20,0,-1.6975160640644538,9
20642,20661,4.07e-06,4.112857142857144e-06,0.010530010530010792,0.00953001053001079,TP,38.09523809523813,-0.20201550036772703,2.1428571428571707e-08,1.617965498528312,0.9742280598353351,21,0,-0.7365494366128519,19
20717,20718,4.15e-06,4.165714285714286e-06,0.0037865748709122737,0.0027865748709122737,TP,37.5,-0.029751530397510276,7.857142857142781e-09,0.6609817066244393,0.23999848497858955,22,0,-0.3601440576230458,1
20721,20722,4.14e-06,4.125e-06,-0.0036231884057971175,-0.0046231884057971176,SL,40.0,-0.13233849327150804,9.999999999999904e-09,0.8174859431179035,2.9494606280601268,22,0,-0.6240998559769423,1
20723,20728,4.11e-06,4.092857142857142e-06,-0.004171011470281538,-0.005171011470281538,SL,27.272727272727067,-0.33611826326720395,1.142857142857138e-08,1.6182296985550566,2.0475093856582354,22,0,-1.3205282112845214,5
20745,20750,4.01e-06,3.982142857142857e-06,-0.006946918418240133,-0.007946918418240134,SL,27.777777777777644,-0.16287948199527705,1.8571428571428453e-08,2.4570454688763848,3.802073921682617,22,0,-2.707686335403745,5
20764,20773,3.96e-06,3.992857142857143e-06,0.008297258297258248,0.007297258297258248,TP,39.99999999999999,-0.11174132337875198,1.642857142857139e-08,1.505574843315471,1.051110090769293,23,0,-2.3668639053254337,9
20847,20850,4.1e-06,4.122857142857143e-06,0.0055749128919861946,0.0045749128919861945,TP,30.769230769230816,-0.16295830789851476,1.14285714285715e-08,1.417205216954228,0.31529860329866244,0,0,-0.6590424500872346,3
20956,20962,4.13e-06,4.1192857142857145e-06,-0.002594258042199926,-0.003594258042199926,SL,37.5,-0.12857314256153216,7.142857142857074e-09,0.731627182166857,1.7868955475368247,2,0,-0.5825429685619301,6
20972,20974,4.11e-06,4.098214285714285e-06,-0.0028675703858186408,-0.003867570385818641,SL,33.33333333333333,-0.01483320493152246,7.857142857142963e-09,0.9148935626128165,0.3668025534275821,2,0,-0.8539586047184963,2
20975,20986,4.09e-06,4.077142857142857e-06,-0.0031435557107929446,-0.004143555710792945,SL,28.571428571428754,-0.07995084745971767,8.571428571428671e-09,1.393857053011031,0.8664863963410294,2,0,-1.2554321583775876,11
21021,21022,4.08e-06,4.1e-06,0.004901960784313708,0.003901960784313708,TP,27.272727272727067,-0.1780529739052813,9.999999999999965e-09,1.5403001129083513,0.6743521626256307,3,0,-0.5314739870300933,1
21063,21070,4.06e-06,4.049285714285714e-06,-0.002638986629134421,-0.003638986629134421,SL,33.33333333333333,-0.24163049403129777,7.142857142857074e-09,0.9130996745227486,3.00140136786786,4,0,-0.8401719421648887,7
21071,21072,4.04e-06,4.023928571428572e-06,-0.003978076379066442,-0.004978076379066442,SL,22.222222222222214,-0.03442247140799266,1.0714285714285612e-08,1.7224998546810988,3.559603188795239,4,0,-1.1064329775775972,1
21073,21093,4.02e-06,3.998571428571428e-06,-0.005330490405117239,-0.006330490405117239,SL,18.181818181818045,-0.11902261449642364,1.428571428571427e-08,2.197301350293377,1.6723956473979797,4,0,-1.5285126396237618,20
21095,21106,3.97e-06,4.0014285714285715e-06,0.007916516732637602,0.006916516732637602,TP,35.294117647059124,-0.24293282785616513,1.5714285714285807e-08,1.8587045149666293,3.5172745921240733,4,0,-1.97046767741616,11
21134,21150,4.01e-06,3.989642857142857e-06,-0.005076594228713871,-0.006076594228713871,SL,35.714285714285495,-0.21241285882401942,1.3571428571428562e-08,1.2593527714955088,0.750671523487185,5,0,-0.3677201351620022,16
21315,21316,4.06e-06,4.050357142857143e-06,-0.002375087966220879,-0.003375087966220879,SL,25.000000000000014,-0.007804979478765509,6.428571428571367e-09,0.745091061152919,0.7306987007722016,8,0,-0.5097039796118377,1
21317,21324,4.05e-06,4.037142857142858e-06,-0.0031746031746030523,-0.004174603174603052,SL,20.0,-0.04676854631941659,8.571428571428489e-09,0.9874748332177166,1.277748060159363,8,0,-0.7352941176470518,7
