entry_time,exit_time,direction,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,strategy
2025-06-25 01:45:00,2025-06-25 02:05:00,SHORT,1.04751,1.0555420739037493,-0.7609430360311475,-27.732902481323972,STOP,MEAN_REV_SHORT
2025-06-25 02:25:00,2025-06-25 06:35:00,SHORT,1.11435,1.0754,3.621908127208484,131.80113718500604,TIME,MEAN_REV_SHORT
2025-06-25 08:25:00,2025-06-25 08:35:00,LONG,1.06906,1.0610428865412047,-0.7499217498358579,-27.4873129404781,STOP,BB_BOUNCE_LONG
2025-06-25 08:40:00,2025-06-25 09:05:00,LONG,1.06432,1.0727769999999999,0.7945918520745554,29.08094948374024,TARGET,BB_BOUNCE_LONG
2025-06-25 09:25:00,2025-06-25 09:35:00,SHORT,1.085,1.0717539999999999,1.2359179438565349,45.30474999122144,TARGET,MEAN_REV_SHORT
2025-06-25 10:40:00,2025-06-25 11:25:00,LONG,1.0498,1.066894,1.6283101543151046,59.836118252331715,TARGET,BB_BOUNCE_LONG
2025-06-25 11:40:00,2025-06-25 12:30:00,SHORT,1.06885,1.0594565,0.886633854245078,32.68756913417112,TARGET,MEAN_REV_SHORT
2025-06-25 13:50:00,2025-06-25 14:10:00,LONG,1.07481,1.0672928994062025,-0.6993887844174762,-25.83011958301068,STOP,EMA_PB_LONG
2025-06-25 14:20:00,2025-06-25 14:25:00,LONG,1.05008,1.0448381265334994,-0.4991880110563507,-18.41043257852629,STOP,BB_BOUNCE_LONG
2025-06-25 14:35:00,2025-06-25 15:15:00,LONG,1.04349,1.02909906804726,-1.3791154637552872,-50.812044404896255,STOP,BB_BOUNCE_LONG
2025-06-25 16:35:00,2025-06-25 16:45:00,LONG,1.005,0.998768970730301,-0.6200029124078466,-22.780341527198857,STOP,BB_BOUNCE_LONG
2025-06-25 16:55:00,2025-06-25 17:40:00,LONG,0.99697,0.9863289600025935,-1.0673380339836225,-39.16784026103166,STOP,BB_BOUNCE_LONG
2025-06-25 17:50:00,2025-06-25 19:05:00,LONG,0.98064,0.9981064999999999,1.781132729645929,65.22226169639718,TARGET,BB_BOUNCE_LONG
2025-06-25 19:10:00,2025-06-25 19:20:00,SHORT,0.99915,1.0048675669616578,-0.5689871132915192,-20.909628848937995,STOP,MEAN_REV_SHORT
2025-06-25 20:15:00,2025-06-25 20:40:00,SHORT,1.018,1.0224525559339337,-0.4354779992570501,-15.985109488289694,STOP,MEAN_REV_SHORT
2025-06-25 21:20:00,2025-06-25 22:00:00,LONG,1.01492,1.0063939152295827,-0.8400745645388175,-30.80979549502412,STOP,EMA_PB_LONG
2025-06-25 22:45:00,2025-06-25 23:05:00,LONG,1.00027,0.9924383057904843,-0.7829580222855514,-28.66679661824932,STOP,BB_BOUNCE_LONG
2025-06-25 23:05:00,2025-06-26 00:30:00,LONG,0.99583,0.9888943071970818,-0.6964735750999873,-25.460371057879644,STOP,BB_BOUNCE_LONG
2025-06-26 01:35:00,2025-06-26 02:30:00,SHORT,1.0128,0.996783,1.6068692985333755,58.65908270084529,TARGET,MEAN_REV_SHORT
2025-06-26 06:25:00,2025-06-26 07:15:00,SHORT,0.97943,0.986765169857527,-0.7433551650983139,-27.2235369195018,STOP,MEAN_REV_SHORT
2025-06-26 08:35:00,2025-06-26 09:05:00,LONG,0.97536,0.9673444835156296,-0.8218008206580474,-30.05166959732631,STOP,BB_BOUNCE_LONG
2025-06-26 09:15:00,2025-06-26 09:45:00,LONG,0.97122,0.9597910758952158,-1.1767595503371142,-42.96109794670585,STOP,BB_BOUNCE_LONG
2025-06-26 13:50:00,2025-06-26 13:55:00,LONG,0.96101,0.9660854999999999,0.5281422669899172,19.2360209145291,TARGET,BB_BOUNCE_LONG
2025-06-26 15:10:00,2025-06-26 16:10:00,LONG,0.9711,0.9644011948350206,-0.6898162048171508,-25.151054838171813,STOP,EMA_PB_LONG
2025-06-26 16:10:00,2025-06-26 16:15:00,LONG,0.96781,0.9621823900319102,-0.5814787993603909,-21.171767512509643,STOP,BB_BOUNCE_LONG
2025-06-26 16:50:00,2025-06-26 16:55:00,LONG,0.97147,0.9663538986502094,-0.5266350324550029,-19.15259463479347,STOP,EMA_PB_LONG
2025-07-02 00:05:00,2025-07-02 00:10:00,SHORT,1.01393,1.009914113326477,0.39764635631196477,14.446319252356162,STOP,MEAN_REV_SHORT
2025-07-02 03:15:00,2025-07-02 04:35:00,SHORT,1.044,1.0537958788003716,-0.9295802913485529,-33.79810588702283,STOP,MEAN_REV_SHORT
2025-07-02 05:35:00,2025-07-02 07:15:00,SHORT,1.06149,1.050605,1.0360696931767999,37.59986193372498,TARGET,MEAN_REV_SHORT
2025-07-02 07:20:00,2025-07-02 07:35:00,LONG,1.05676,1.060815,0.3837200499640536,13.95438690177879,TARGET,BB_BOUNCE_LONG
2025-07-02 07:55:00,2025-07-02 10:45:00,LONG,1.05873,1.0746109499999998,1.4999999999999902,54.59095527780709,TARGET,EMA_PB_LONG
2025-07-02 10:45:00,2025-07-02 10:50:00,SHORT,1.06987,1.075778108269639,-0.5491939484752906,-20.04731023126483,STOP,MEAN_REV_SHORT
2025-07-02 11:00:00,2025-07-02 12:05:00,SHORT,1.07631,1.0645740000000001,1.1024127961043462,40.197341145856804,TARGET,MEAN_REV_SHORT
2025-07-02 12:25:00,2025-07-02 13:00:00,LONG,1.0631,1.0701605,0.6641426018248575,24.27006339560387,TARGET,BB_BOUNCE_LONG
2025-07-02 13:20:00,2025-07-02 13:30:00,LONG,1.06761,1.0609330156235097,-0.6254141846264272,-22.88515101839264,STOP,EMA_PB_LONG
2025-07-02 14:15:00,2025-07-02 14:55:00,LONG,1.06821,1.08423315,1.4999999999999902,54.81933297351592,TARGET,EMA_PB_LONG
2025-07-02 15:05:00,2025-07-02 15:10:00,SHORT,1.09162,1.0961265225951162,-0.41113160773145196,-15.070382921112031,STOP,MEAN_REV_SHORT
2025-07-02 15:10:00,2025-07-02 15:50:00,SHORT,1.09053,1.0987162677737636,-0.7450756864054386,-27.288933381509004,STOP,MEAN_REV_SHORT
2025-07-02 16:15:00,2025-07-02 17:40:00,SHORT,1.1173,1.0915700000000002,2.357155290086732,86.20386086678735,TARGET,MEAN_REV_SHORT
2025-07-02 17:40:00,2025-07-02 17:45:00,LONG,1.09671,1.0901391589999956,-0.5991411585564488,-22.014572959154048,STOP,EMA_PB_LONG
2025-07-02 17:50:00,2025-07-02 18:35:00,LONG,1.09377,1.108285,1.32706144801924,48.702518937769554,TARGET,BB_BOUNCE_LONG
2025-07-02 19:20:00,2025-07-02 19:55:00,SHORT,1.11447,1.1286315167339582,-1.2547511321444271,-46.170984092894805,STOP,MEAN_REV_SHORT
2025-07-02 20:15:00,2025-07-02 20:20:00,SHORT,1.15307,1.1533945105720833,-0.028135262402306793,-1.032693092675031,STOP,MEAN_REV_SHORT
2025-07-02 20:35:00,2025-07-02 21:15:00,SHORT,1.17056,1.1847374447231236,-1.1966739792238834,-43.9209485916883,STOP,MEAN_REV_SHORT
2025-07-02 23:15:00,2025-07-02 23:55:00,LONG,1.1698,1.15435257851684,-1.3205181640588037,-48.350345228049115,STOP,EMA_PB_LONG
2025-07-03 00:00:00,2025-07-03 00:15:00,LONG,1.1493,1.143823107245513,-0.47654161267615125,-17.402335025725957,STOP,BB_BOUNCE_LONG
2025-07-03 01:30:00,2025-07-03 01:55:00,SHORT,1.15745,1.1680070935335336,-0.903855258412467,-32.97550596756122,STOP,MEAN_REV_SHORT
2025-07-03 02:45:00,2025-07-03 03:25:00,LONG,1.1414,1.152698,0.9898370422288361,36.04711333632173,TARGET,BB_BOUNCE_LONG
2025-07-03 04:45:00,2025-07-03 05:05:00,LONG,1.14358,1.145984,0.21021703772363676,7.67067554642896,TARGET,BB_BOUNCE_LONG
2025-07-03 05:55:00,2025-07-03 07:35:00,SHORT,1.17792,1.1904255859828883,-1.0505138775694922,-38.34864728598856,STOP,MEAN_REV_SHORT
2025-07-03 07:40:00,2025-07-03 07:45:00,SHORT,1.19504,1.2008968831731446,-0.48770908270397983,-17.766246121698835,STOP,MEAN_REV_SHORT
2025-07-03 07:55:00,2025-07-03 08:00:00,SHORT,1.22869,1.2294887696171395,-0.06496762206198436,-2.364329365054759,STOP,MEAN_REV_SHORT
2025-07-03 08:05:00,2025-07-03 08:40:00,SHORT,1.22799,1.2424821053924064,-1.166383429548834,-42.44200698073772,STOP,MEAN_REV_SHORT
2025-07-03 10:15:00,2025-07-03 11:40:00,LONG,1.24189,1.2157535701453623,-2.104568830946185,-76.40176897567294,STOP,EMA_PB_LONG
2025-07-03 12:00:00,2025-07-03 12:10:00,LONG,1.21569,1.2298595,1.1655520733081737,42.13471862270759,TARGET,BB_BOUNCE_LONG
2025-07-03 12:40:00,2025-07-03 13:30:00,LONG,1.2114,1.222912,0.9503054317318682,34.43363217038056,TARGET,BB_BOUNCE_LONG
2025-07-03 14:35:00,2025-07-03 14:50:00,LONG,1.19,1.1823194854886414,-0.6454213875091264,-23.430827047678505,STOP,BB_BOUNCE_LONG
2025-07-09 03:55:00,2025-07-09 04:00:00,SHORT,1.06011,1.0647722751509705,-0.4378659418333708,-15.87539221828508,STOP,MEAN_REV_SHORT
2025-07-09 10:45:00,2025-07-09 11:15:00,SHORT,1.056,1.0618997478966168,-0.555584263797293,-20.12578096975291,STOP,MEAN_REV_SHORT
2025-07-09 11:35:00,2025-07-09 11:40:00,SHORT,1.05712,1.0548009999999999,0.21985189623447976,7.955183074637013,TARGET,MEAN_REV_SHORT
2025-07-09 11:55:00,2025-07-09 12:15:00,LONG,1.05566,1.0714949,1.4999999999999902,54.30028897942586,TARGET,EMA_PB_LONG
2025-07-09 12:30:00,2025-07-09 12:55:00,SHORT,1.07383,1.0619714999999998,1.1166495522714426,40.54419770481166,TARGET,MEAN_REV_SHORT
2025-07-09 13:00:00,2025-07-09 13:10:00,LONG,1.06194,1.0551859935490828,-0.6360064081696981,-23.144197906875817,STOP,EMA_PB_LONG
2025-07-09 13:15:00,2025-07-09 13:20:00,LONG,1.06291,1.0552510171318426,-0.7205673921740763,-26.188008196340782,STOP,EMA_PB_LONG
2025-07-09 13:35:00,2025-07-09 13:45:00,LONG,1.05379,1.0643345,1.000626310745023,36.313946793404014,TARGET,BB_BOUNCE_LONG
2025-07-09 16:20:00,2025-07-09 16:25:00,SHORT,1.06627,1.0756891006643963,-0.8756341082733377,-31.84142308427036,STOP,MEAN_REV_SHORT
2025-07-09 16:35:00,2025-07-09 18:00:00,SHORT,1.0701,1.052464,1.675686769333673,60.8277016263132,TARGET,MEAN_REV_SHORT
2025-07-09 18:00:00,2025-07-09 18:05:00,LONG,1.05677,1.066943,0.962650340187543,35.06147516525274,TARGET,BB_BOUNCE_LONG
2025-07-09 18:40:00,2025-07-09 19:20:00,LONG,1.0637,1.0796554999999999,1.4999999999999902,54.73791092267102,TARGET,EMA_PB_LONG
2025-07-09 19:55:00,2025-07-09 20:10:00,SHORT,1.10113,1.0801565,1.9417093726695978,71.06931334862752,TARGET,MEAN_REV_SHORT
2025-07-09 21:55:00,2025-07-10 02:05:00,LONG,1.10439,1.11458,0.9226812991787181,33.902591122579665,TIME,EMA_PB_LONG
2025-07-10 02:15:00,2025-07-10 02:25:00,SHORT,1.11312,1.1196311279727222,-0.5815422428020245,-21.407360997995138,STOP,MEAN_REV_SHORT
2025-07-10 02:35:00,2025-07-10 03:00:00,SHORT,1.11651,1.126547301330186,-0.8909791287356139,-32.76000665576554,STOP,MEAN_REV_SHORT
2025-07-10 05:10:00,2025-07-10 06:05:00,SHORT,1.15183,1.136006,1.3929503893465256,51.12549367517805,TARGET,MEAN_REV_SHORT
2025-07-10 06:05:00,2025-07-10 06:50:00,LONG,1.135,1.1520249999999999,1.4999999999999902,55.207914746916906,TARGET,EMA_PB_LONG
2025-07-10 07:05:00,2025-07-10 07:10:00,SHORT,1.17389,1.1749678681502953,-0.09173596823477403,-3.386496778714606,STOP,MEAN_REV_SHORT
2025-07-10 07:15:00,2025-07-10 08:20:00,SHORT,1.17158,1.1832570596921155,-0.9868573862685248,-36.42383966382987,STOP,MEAN_REV_SHORT
2025-07-10 08:45:00,2025-07-10 09:20:00,SHORT,1.18601,1.174353,0.9926316874057539,36.564651963858786,TARGET,MEAN_REV_SHORT
2025-07-10 09:20:00,2025-07-10 11:00:00,LONG,1.17607,1.1596554460147326,-1.395712328795684,-51.51462682374983,STOP,EMA_PB_LONG
2025-07-10 11:15:00,2025-07-10 11:20:00,LONG,1.1594,1.1648524999999998,0.47028635501120686,17.309440332982902,TARGET,BB_BOUNCE_LONG
2025-07-10 12:25:00,2025-07-10 14:05:00,LONG,1.14585,1.1547649999999998,0.7780250469083816,28.663057823425312,TARGET,BB_BOUNCE_LONG
2025-07-10 14:20:00,2025-07-10 14:25:00,SHORT,1.15909,1.1492265,0.8582729340125717,31.668654880631376,TARGET,MEAN_REV_SHORT
2025-07-10 15:55:00,2025-07-10 16:20:00,SHORT,1.1584,1.169295623943077,-0.9318108885360221,-34.44108530348739,STOP,MEAN_REV_SHORT
2025-07-10 16:25:00,2025-07-10 16:30:00,SHORT,1.17051,1.1782054957243278,-0.6531539491416827,-24.09652899148577,STOP,MEAN_REV_SHORT
2025-07-10 16:50:00,2025-07-10 17:05:00,SHORT,1.18225,1.1961142707519934,-1.1591092164862316,-42.706659022294474,STOP,MEAN_REV_SHORT
2025-07-10 17:15:00,2025-07-16 00:00:00,SHORT,1.19842,1.2113870403987446,-1.0704291829369605,-39.347869367530066,STOP,MEAN_REV_SHORT
2025-07-16 00:00:00,2025-07-16 00:05:00,SHORT,1.23768,1.2274863619777698,0.830448169363418,30.461062845329668,STOP,MEAN_REV_SHORT
2025-07-16 00:05:00,2025-07-16 00:15:00,SHORT,1.23194,1.233956568843377,-0.16342299998994836,-6.004355795534078,STOP,MEAN_REV_SHORT
2025-07-16 03:50:00,2025-07-16 04:10:00,LONG,1.20505,1.1967065140244508,-0.6923767458237529,-25.430432298987125,STOP,BB_BOUNCE_LONG
2025-07-16 04:15:00,2025-07-16 06:05:00,LONG,1.19322,1.1875562542584877,-0.4746606444337442,-17.409756087818995,STOP,BB_BOUNCE_LONG
2025-07-16 06:10:00,2025-07-16 06:15:00,LONG,1.1909,1.196688,0.48601897724409593,17.809437735448494,TARGET,BB_BOUNCE_LONG
2025-07-16 08:10:00,2025-07-16 08:55:00,LONG,1.20947,1.2276120499999998,1.4999999999999902,55.018682457502386,TARGET,EMA_PB_LONG
2025-07-16 09:15:00,2025-07-16 09:25:00,SHORT,1.23523,1.2430309305816614,-0.6275733282043894,-23.087894957510187,STOP,MEAN_REV_SHORT
2025-07-16 09:35:00,2025-07-16 09:45:00,SHORT,1.2454,1.226146,1.5702860833864962,57.69699520200384,TARGET,MEAN_REV_SHORT
2025-07-16 10:00:00,2025-07-16 11:30:00,LONG,1.22946,1.2479018999999998,1.4999999999999902,55.28756580560838,TARGET,EMA_PB_LONG
2025-07-16 12:45:00,2025-07-16 13:10:00,SHORT,1.25627,1.2735418489155195,-1.3562058388758347,-50.13750901432461,STOP,MEAN_REV_SHORT
2025-07-16 13:20:00,2025-07-16 13:30:00,SHORT,1.26668,1.2546845,0.9560570804851842,35.24855999734895,TARGET,MEAN_REV_SHORT
2025-07-16 13:35:00,2025-07-16 13:45:00,LONG,1.25611,1.27495165,1.4999999999999902,55.408761655974274,TARGET,EMA_PB_LONG
2025-07-16 14:10:00,2025-07-16 14:45:00,LONG,1.25469,1.27351035,1.4999999999999902,55.5749879409422,TARGET,EMA_PB_LONG
2025-07-16 15:10:00,2025-07-16 15:35:00,LONG,1.26271,1.2497926889897646,-1.022983187765636,-38.01522343922252,STOP,EMA_PB_LONG
2025-07-16 15:40:00,2025-07-16 16:10:00,LONG,1.23514,1.261064,2.098871383001133,77.83687924099473,TARGET,BB_BOUNCE_LONG
2025-07-16 17:55:00,2025-07-16 18:05:00,SHORT,1.34481,1.3551674414458412,-0.7642923766520426,-28.462848265669226,STOP,MEAN_REV_SHORT
