entry_idx,exit_idx,direction,entry_price,exit_price,exit_type,pnl_pct,position_size,timestamp,weighted_pnl,size_mult
26879,26927,SHORT,2906.3,2919.9314285714286,SL,-0.4690303331186865,78.0,2025-11-25 16:21:00,-0.3658436598325755,0.78
26928,26939,SHORT,2922.79,2934.0342857142855,SL,-0.3847106947226973,78.0,2025-11-25 16:33:00,-0.3000743418837039,0.78
26988,27044,SHORT,2942.82,2952.454285714286,SL,-0.3273827727922826,42.0,2025-11-25 18:18:00,-0.1375007645727587,0.42
27045,27065,SHORT,2954.72,2940.162857142857,TP,0.492674191028014,100.0,2025-11-25 18:39:00,0.492674191028014,1.0
27070,27081,LONG,2938.4,2932.0014285714287,SL,-0.21775699117109168,130.0,2025-11-25 18:55:00,-0.2830840885224192,1.3
27082,27083,LONG,2931.57,2925.36,SL,-0.21183188530378042,100.0,2025-11-25 18:57:00,-0.21183188530378042,1.0
27084,27088,LONG,2926.31,2919.675714285714,SL,-0.22671165099684762,130.0,2025-11-25 19:02:00,-0.2947251462959019,1.3
27089,27094,LONG,2912.45,2903.8428571428567,SL,-0.2955292917352441,78.0,2025-11-25 19:08:00,-0.2305128475534904,0.78
27095,27104,LONG,2899.18,2888.6885714285713,SL,-0.3618757224949301,78.0,2025-11-25 19:18:00,-0.28226306354604547,0.78
27105,27109,LONG,2883.4,2873.26,SL,-0.35166816952208757,78.0,2025-11-25 19:23:00,-0.27430117222722833,0.78
27110,27127,LONG,2879.91,2901.3271428571425,TP,0.7436740334643308,60.0,2025-11-25 19:41:00,0.44620442007859845,0.6
27128,27136,SHORT,2904.14,2911.465714285714,SL,-0.2522507277787636,100.0,2025-11-25 19:50:00,-0.2522507277787636,1.0
27137,27139,SHORT,2911.92,2919.3985714285714,SL,-0.2568261294462515,100.0,2025-11-25 19:53:00,-0.2568261294462515,1.0
27140,27154,SHORT,2921.26,2928.905714285714,SL,-0.26172659351491795,130.0,2025-11-25 20:08:00,-0.34024457156939336,1.3
27163,27177,SHORT,2934.22,2942.3199999999997,SL,-0.27605292036724954,100.0,2025-11-25 20:31:00,-0.27605292036724954,1.0
27197,27206,SHORT,2938.58,2926.2742857142857,TP,0.41876397054748216,100.0,2025-11-25 21:00:00,0.41876397054748216,1.0
27207,27213,LONG,2929.96,2923.36,SL,-0.22525904790508777,100.0,2025-11-25 21:07:00,-0.22525904790508777,1.0
27214,27223,LONG,2925.82,2937.52,TP,0.3998878946756744,100.0,2025-11-25 21:17:00,0.3998878946756744,1.0
