strategy,exit_method,session,total_trades,total_return_pct,win_rate,profit_factor,avg_win,avg_loss,max_drawdown,sharpe_ratio,avg_duration,largest_win,largest_loss
green_above_ema50,fixed_rr_1.5,all,879,-14.88,39.93,0.97,1.43,-0.96,36.94,-0.07,4.3,11.82,-6.47
session_open_breakout,fixed_rr_1.5,all,203,-15.29,38.42,0.89,1.83,-1.25,34.26,-0.58,5.8,5.88,-4.86
price_cross_ema10,fixed_rr_1.5,all,290,-15.34,40.69,0.95,3.0,-2.09,44.59,-0.1,15.4,9.63,-7.7
rsi_oversold_above_ema20,trail_atr_2.0,all,28,-15.53,21.43,0.38,1.71,-1.21,17.99,-5.76,5.8,4.47,-4.2
rsi7_oversold_30,fixed_rr_3.0,all,307,-15.57,30.94,0.95,3.49,-1.58,47.9,-0.06,14.9,18.61,-8.65
rsi_oversold_above_ema20,time_based_4,all,28,-16.43,28.57,0.2,0.57,-1.12,17.77,-8.65,3.6,1.59,-3.36
rsi_oversold_above_ema20,trail_atr_1.5,all,28,-16.43,17.86,0.17,0.75,-0.93,16.29,-9.96,3.6,1.59,-3.66
green_above_ema20,fixed_rr_1.5,all,1033,-16.78,38.24,0.96,1.41,-0.89,43.34,-0.08,3.9,10.38,-6.47
rsi_oversold_above_ema20,time_based_8,all,28,-17.45,28.57,0.37,1.45,-1.52,20.2,-6.16,6.2,2.71,-4.47
rsi_oversold_above_ema20,fixed_rr_3.0,all,28,-17.53,21.43,0.57,4.07,-1.93,26.64,-3.36,12.4,8.59,-4.47
ema_10_50_cross,trail_atr_2.0,all,120,-19.29,33.33,0.77,1.68,-1.08,30.12,-1.28,6.5,11.13,-3.97
rsi14_oversold_30,trail_atr_2.0,all,208,-19.6,32.69,0.84,1.8,-1.01,39.61,-0.88,7.2,6.37,-4.2
ema_5_20_cross,time_based_4,all,257,-19.89,43.97,0.87,1.3,-1.15,38.5,-0.69,3.7,7.64,-4.2
rsi14_momentum_50,fixed_rr_1.5,all,260,-20.01,40.38,0.92,2.72,-1.93,45.11,-0.33,13.8,7.2,-5.04
ema_5_20_cross,fixed_rr_2.0,all,195,-20.48,37.44,0.92,2.88,-1.87,46.67,-0.49,13.6,9.34,-5.64
green_candle_2_consec,fixed_rr_1.0,all,666,-21.75,46.7,0.94,1.73,-1.55,54.92,-0.13,7.5,11.31,-8.02
rsi14_momentum_50,fixed_rr_2.0,all,246,-22.2,35.77,0.92,3.26,-1.91,42.19,-0.34,15.9,9.6,-5.04
green_candle_2_consec,time_based_8,all,732,-22.37,36.48,0.94,1.79,-1.06,44.17,-0.13,5.7,18.61,-7.64
price_cross_ema10,fixed_rr_3.0,all,233,-22.83,30.47,0.93,4.68,-2.12,40.12,-0.21,22.0,12.29,-6.29
rsi14_momentum_50,fixed_rr_1.0,all,303,-24.07,47.85,0.9,2.0,-1.96,39.94,-0.48,10.2,5.04,-5.41
ema_5_20_cross,time_based_8,all,242,-24.3,38.43,0.86,1.98,-1.39,43.41,-0.62,6.5,9.54,-4.88
green_above_sma20,fixed_rr_1.5,all,1002,-24.62,36.73,0.94,1.49,-0.89,53.76,-0.18,4.1,10.71,-6.47
green_above_ema20,fixed_rr_1.0,all,1269,-24.94,46.73,0.94,1.01,-0.92,50.0,-0.19,3.0,10.89,-6.47
ema_10_50_cross,trail_atr_1.5,all,121,-26.02,30.58,0.53,0.95,-0.77,30.14,-3.4,3.9,6.25,-3.48
rsi7_momentum_50,time_based_4,all,637,-26.18,44.43,0.91,1.19,-1.03,46.27,-0.33,3.8,13.02,-5.01
