direction,entry,exit,pnl,bars,exit_reason
LONG,0.014427,0.014339142857142858,-0.007089772153402895,11,SL
LONG,0.014436,0.014348428571428571,-0.007066183746981757,8,SL
SHORT,0.01446,0.014295714285714287,0.010491955631058203,10,TP
SHORT,0.014384,0.014459428571428571,-0.006216566550742985,9,SL
SHORT,0.014366,0.014431357142857143,-0.005528828592499479,7,SL
SHORT,0.014349,0.014399285714285715,-0.0044922367180911795,1,SL
LONG,0.014489,0.014434642857142858,-0.004751614525304925,7,SL
SHORT,0.014488,0.014376857142857143,0.006730678272620528,9,TP
SHORT,0.014303,0.014347714285714287,-0.00411647450066721,3,SL
SHORT,0.014313,0.01423242857142857,0.004661115962540375,9,TP
LONG,0.014298,0.014258214285714286,-0.0037826069580161317,2,SL
SHORT,0.014213,0.014259928571428571,-0.004290940146965293,2,SL
LONG,0.01451,0.014456642857142857,-0.004677266909520527,1,SL
SHORT,0.014068,0.014101500000000001,-0.003375633797823018,7,SL
LONG,0.01428,0.014238285714285714,-0.003921168467386992,1,SL
LONG,0.014467,0.014507142857142857,0.001774787941028256,14,TP
SHORT,0.014365,0.014388428571428571,-0.002628292576375867,2,SL
LONG,0.014549,0.014520499999999999,-0.0029588975187299074,3,SL
SHORT,0.01453,0.014559928571428571,-0.0030555438360666534,1,SL
SHORT,0.014464,0.014500642857142856,-0.0035269815623937264,2,SL
SHORT,0.014534,0.014469285714285714,0.0034725280150070823,3,TP
SHORT,0.014255,0.014204142857142858,0.0025804443371652006,1,TP
SHORT,0.014165,0.014196642857142857,-0.0032288971738790853,1,SL
LONG,0.014303,0.014384285714285714,0.004683123420660907,1,TP
LONG,0.014357,0.014452714285714286,0.005666733002318459,8,TP
LONG,0.014496,0.014599714285714285,0.0061546830652791104,2,TP
LONG,0.014607,0.014562214285714286,-0.0040660446556934895,1,SL
SHORT,0.014561,0.014602857142857141,-0.0038663666601447258,2,SL
SHORT,0.014577,0.014620714285714285,-0.00398988714641657,6,SL
SHORT,0.014532,0.014578214285714285,-0.004170092358950383,3,SL
LONG,0.014734,0.014692642857142859,-0.0038069188853767635,3,SL
SHORT,0.014728,0.014641142857142858,0.004932401842166923,5,TP
SHORT,0.014442,0.014472785714285714,-0.003127145035756728,1,SL
LONG,0.014462,0.014525285714285713,0.003376000158049731,7,TP
LONG,0.014567,0.014531714285714285,-0.0034223048181311047,3,SL
LONG,0.014609,0.01456057142857143,-0.004314981958283947,13,SL
LONG,0.014514,0.014489357142857144,-0.002697868068268993,3,SL
LONG,0.014584,0.014551928571428572,-0.003199083143954228,1,SL
SHORT,0.014813,0.014855928571428572,-0.0038896592509964903,8,SL
SHORT,0.014923,0.014951714285714287,-0.002920467791557634,3,SL
LONG,0.014951,0.01492307142857143,-0.0028680069178362846,13,SL
LONG,0.014891,0.014865571428571428,-0.002707646996747858,3,SL
LONG,0.01458,0.014551142857142856,-0.002979227905153813,4,SL
SHORT,0.014586,0.014609,-0.0025743719624888852,1,SL
SHORT,0.014564,0.014492857142857144,0.003908822079842334,5,TP
SHORT,0.014407,0.014341428571428571,0.003572168542683608,6,TP
SHORT,0.01438,0.014289,0.005368535236895623,2,TP
LONG,0.014409,0.0143465,-0.0053375667985287025,4,SL
LONG,0.014463,0.014395428571428571,-0.005672020228958629,2,SL
SHORT,0.014379,0.014449357142857142,-0.005869223049962623,7,SL
LONG,0.014341,0.014485714285714286,0.009090948031119539,4,TP
LONG,0.014458,0.01459357142857143,0.00837691441218913,2,TP
LONG,0.014619,0.014545714285714285,-0.006013045645099856,9,SL
LONG,0.014679,0.014605428571428571,-0.006012019113797117,5,SL
LONG,0.014713,0.014641142857142858,-0.005883921896087995,1,SL
SHORT,0.014642,0.014714142857142858,-0.0059029602229148095,2,SL
SHORT,0.014592,0.01443757142857143,0.009696298348554788,7,TP
LONG,0.014635,0.014577928571428572,-0.004899653472595022,3,SL
LONG,0.014466,0.014418071428571428,-0.004313187572830945,6,SL
SHORT,0.014161,0.014207928571428571,-0.004302984751974436,18,SL
SHORT,0.014143,0.014188857142857142,-0.004231912365840417,16,SL
LONG,0.014159,0.0141095,-0.004496009605198025,1,SL
LONG,0.014121,0.01421357142857143,0.005555585905490435,9,TP
SHORT,0.014174,0.014087142857142857,0.00516570327553001,5,TP
SHORT,0.014123,0.014035714285714285,0.005218829516539515,14,TP
SHORT,0.014014,0.013943,0.004092160940973978,5,TP
SHORT,0.013901,0.013935357142857143,-0.0034654655424281025,2,SL
SHORT,0.01387,0.013907642857142858,-0.0037066309891272678,1,SL
LONG,0.013936,0.013896,-0.003870264064293915,3,SL
SHORT,0.013861,0.013902714285714286,-0.004000441845888213,1,SL
SHORT,0.013891,0.013798285714285714,0.005719261191866499,3,TP
SHORT,0.013798,0.013845,-0.004394727338389303,8,SL
SHORT,0.013777,0.01381992857142857,-0.004106280268142747,1,SL
SHORT,0.013759,0.013682285714285715,0.004606832609422074,4,TP
SHORT,0.013686,0.013606,0.004879758929883794,12,TP
LONG,0.013704,0.01365742857142857,-0.004398382119923271,1,SL
SHORT,0.013577,0.01348157142857143,0.006078445708957215,12,TP
LONG,0.013587,0.013543214285714285,-0.004222618259050236,3,SL
SHORT,0.013537,0.013457571428571428,0.00490214748999518,13,TP
SHORT,0.013484,0.013521142857142857,-0.0037470205392612357,2,SL
SHORT,0.013495,0.013416571428571429,0.00484564930363296,3,TP
SHORT,0.013454,0.013373714285714286,0.005003247308152604,8,TP
LONG,0.013465,0.01342442857142857,-0.004013102753169683,1,SL
SHORT,0.013417,0.013459428571428572,-0.004152330814299109,7,SL
SHORT,0.013452,0.013353714285714286,0.0063601780136076655,14,TP
SHORT,0.013399,0.01328942857142857,0.007245006772300334,4,TP
SHORT,0.013342,0.01339042857142857,-0.004616655820255388,8,SL
SHORT,0.013313,0.013359857142857144,-0.004507308675242515,7,SL
SHORT,0.01331,0.013357428571428572,-0.004550726187675157,6,SL
SHORT,0.013329,0.0133785,-0.004699966363942098,7,SL
LONG,0.013386,0.013343357142857143,-0.004185631043094106,1,SL
