entry_time,entry_idx,exit_idx,entry_price,exit_price,pnl_pct,winner,exit_reason,equity,drawdown,bars_held,regime,regime_confidence
2025-03-07 16:00:00,4232,4243,0.2759,0.289695,-5.010000000000002,False,SL,0.9550365666425297,18.583664585380024,11,Favorable,Medium
2025-03-07 20:30:00,4250,4251,0.2733,0.286965,-5.010000000000014,False,SL,0.9071892346537388,22.662622989652494,1,Favorable,Medium
2025-03-08 11:30:00,4310,4352,0.2523,0.23337750000000004,7.489999999999991,True,TP,0.9751377083293038,16.870053451577473,42,Favorable,Medium
2025-03-09 11:30:00,4406,4431,0.2483,0.2296775,7.489999999999994,True,TP,1.0481755226831686,10.643620455100628,25,Favorable,Low
2025-03-09 21:30:00,4446,4493,0.2351,0.24685500000000002,-5.010000000000007,False,SL,0.9956619289967418,15.120375070300094,47,Highly Favorable,High
2025-03-10 10:30:00,4498,4503,0.2285,0.23992500000000003,-5.010000000000008,False,SL,0.945779266354005,19.37284427927806,5,Favorable,Medium
2025-03-10 14:15:00,4513,4521,0.2225,0.2058125,7.489999999999997,True,TP,1.01661813340392,13.33387031579599,8,Favorable,Medium
2025-03-10 23:45:00,4551,4572,0.2187,0.229635,-5.010000000000001,False,SL,0.9656855649203835,17.675843412974615,21,Favorable,Medium
2025-03-12 09:15:00,4685,4695,0.2399,0.25189500000000004,-5.010000000000014,False,SL,0.9173047181178722,21.800283657984597,10,Favorable,Low
2025-03-14 02:00:00,4848,4875,0.2455,0.25777500000000003,-5.010000000000015,False,SL,0.8713477517401667,25.718089446719578,27,Highly Favorable,High
2025-03-16 18:30:00,5106,5120,0.3305,0.30571250000000005,7.489999999999989,True,TP,0.9366116983455051,20.154374346278882,14,Favorable,Low
2025-03-17 09:30:00,5166,5175,0.3083,0.32371500000000003,-5.010000000000004,False,SL,0.8896874522583952,24.154640191530316,9,Favorable,Low
2025-03-17 12:45:00,5179,5197,0.3064,0.32172,-5.010000000000001,False,SL,0.8451141109002496,27.95449271793465,18,Favorable,Low
2025-03-18 20:30:00,5306,5313,0.2745,0.288225,-5.009999999999995,False,SL,0.8027738939441471,31.56397263276612,7,Favorable,Medium
2025-03-21 01:15:00,5517,5550,0.3558,0.37359000000000003,-5.010000000000008,False,SL,0.7625549218575454,34.99261760386453,33,Favorable,Low
2025-03-21 10:15:00,5553,5567,0.3526,0.37023000000000006,-5.01000000000001,False,SL,0.7243509202724823,38.249487461910924,14,Favorable,Low
