entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,bars_held,pnl_pct,exit_reason
2025-12-08 12:01:00,2025-12-08 12:51:00,SHORT,0.17651,0.16838857142857144,0.17772821428571428,0.16838857142857144,49,4.72302836975701,TP
2025-12-08 13:35:00,2025-12-08 13:40:00,LONG,0.16751,0.16622535714285713,0.16622535714285713,0.17607428571428568,5,-0.8669051741047483,SL
2025-12-08 13:41:00,2025-12-08 15:12:00,SHORT,0.16572,0.16710535714285715,0.16710535714285715,0.15648428571428577,91,-0.9290321546500889,SL
2025-12-08 16:13:00,2025-12-08 16:47:00,SHORT,0.17636,0.1792817857142857,0.1792817857142857,0.15688142857142856,34,-1.7297169858303763,SL
2025-12-08 18:08:00,2025-12-08 18:15:00,SHORT,0.19628,0.19939035714285716,0.19939035714285716,0.17554428571428574,7,-1.6599335832618412,SL
2025-12-08 18:16:00,2025-12-08 18:24:00,LONG,0.19874,0.1960207142857143,0.1960207142857143,0.2168685714285714,8,-1.4682629134978864,SL
2025-12-08 18:24:00,2025-12-08 19:01:00,SHORT,0.19474,0.19808285714285714,0.19808285714285714,0.17245428571428575,37,-1.7876054753422133,SL
2025-12-08 19:19:00,2025-12-08 20:13:00,SHORT,0.19435,0.18318571428571429,0.19602464285714286,0.18318571428571429,54,5.994517663573274,TP
2025-12-08 20:45:00,2025-12-08 20:47:00,LONG,0.18446,0.18344000000000002,0.18344000000000002,0.19125999999999999,2,-0.6529654125555616,SL
2025-12-08 21:27:00,2025-12-08 21:30:00,SHORT,0.18577,0.187045,0.187045,0.17726999999999998,3,-0.7816541473976811,SL
2025-12-08 21:43:00,2025-12-08 23:14:00,SHORT,0.1865,0.17847857142857138,0.1877032142857143,0.17847857142857138,91,4.39433705526876,TP
2025-12-08 23:22:00,2025-12-08 23:32:00,LONG,0.1804,0.17910785714285715,0.17910785714285715,0.18901428571428566,10,-0.8162654418751968,SL
2025-12-08 23:33:00,2025-12-09 00:21:00,SHORT,0.17863,0.17985035714285716,0.17985035714285716,0.1704942857142857,48,-0.7785402944114227,SL
2025-12-09 00:50:00,2025-12-09 00:56:00,SHORT,0.17934,0.18035464285714284,0.18035464285714284,0.17257571428571433,6,-0.6625820555928418,SL
2025-12-09 01:12:00,2025-12-09 01:35:00,LONG,0.18103,0.17962964285714286,0.17962964285714286,0.19036571428571425,23,-0.873549766810544,SL
2025-12-09 01:55:00,2025-12-09 02:58:00,LONG,0.17966,0.1780860714285714,0.1780860714285714,0.19015285714285715,63,-0.9760595410378324,SL
2025-12-09 03:11:00,2025-12-09 03:21:00,LONG,0.18004,0.17872214285714286,0.17872214285714286,0.18882571428571435,10,-0.8319801948773352,SL
2025-12-09 03:21:00,2025-12-09 03:23:00,SHORT,0.17789,0.17876214285714287,0.17876214285714287,0.17207571428571422,2,-0.5878789452864462,SL
2025-12-09 04:07:00,2025-12-09 04:16:00,LONG,0.17661,0.1754785714285714,0.1754785714285714,0.18415285714285717,9,-0.7406367541071267,SL
2025-12-09 04:17:00,2025-12-09 04:26:00,SHORT,0.17514,0.17622,0.17622,0.16793999999999998,9,-0.7128702757916215,SL
2025-12-09 04:27:00,2025-12-09 04:33:00,LONG,0.17642,0.17510535714285713,0.17510535714285713,0.18518428571428572,6,-0.8451779033799233,SL
2025-12-09 04:40:00,2025-12-09 06:22:00,LONG,0.17631,0.1834028571428572,0.1752460714285714,0.1834028571428572,101,3.922946595687826,TP
2025-12-09 06:32:00,2025-12-09 07:15:00,SHORT,0.18,0.18179142857142858,0.18179142857142858,0.16805714285714285,43,-1.0854307133764007,SL
2025-12-09 07:58:00,2025-12-09 08:28:00,SHORT,0.18237,0.18316821428571428,0.18316821428571428,0.17704857142857142,30,-0.5357820972525239,SL
2025-12-09 09:01:00,2025-12-09 09:03:00,SHORT,0.18384,0.18559178571428572,0.18559178571428572,0.1721614285714286,2,-1.0438918363459004,SL
2025-12-09 09:03:00,2025-12-09 09:30:00,LONG,0.18566,0.1842275,0.1842275,0.19521,27,-0.8715716901863678,SL
2025-12-09 09:30:00,2025-12-09 11:30:00,SHORT,0.18338,0.18196,0.18488535714285712,0.17334428571428573,120,0.6803912947900616,Time
2025-12-09 11:44:00,2025-12-09 12:28:00,LONG,0.1834,0.18845000000000003,0.1826425,0.18845000000000003,44,2.653544165757926,TP
2025-12-09 13:35:00,2025-12-09 13:41:00,SHORT,0.19786,0.20030178571428572,0.20030178571428572,0.1815814285714286,6,-1.3190533926485948,SL
2025-12-09 13:41:00,2025-12-09 13:56:00,LONG,0.20359,0.20052678571428573,0.20052678571428573,0.22401142857142853,15,-1.6045995803891433,SL
2025-12-09 13:57:00,2025-12-09 14:44:00,SHORT,0.20034,0.20288785714285712,0.20288785714285712,0.18335428571428578,47,-1.355795777399893,SL
2025-12-09 15:14:00,2025-12-09 16:06:00,SHORT,0.21015,0.21306535714285715,0.21306535714285715,0.19071428571428575,52,-1.4682924253624385,SL
2025-12-09 18:22:00,2025-12-09 18:25:00,SHORT,0.26149,0.2665160714285714,0.2665160714285714,0.2279828571428571,3,-1.9858417811844609,SL
