volume_threshold,min_zone_bars,sl_type,sl_value,rr_ratio,session,total_return,max_drawdown,return_dd_ratio,win_rate,num_trades,avg_trade
1.3,3,fixed_pct,1.0,4.0,asia_eu,35.494361974470806,-5.843849268646041,6.073798337836745,50.256410256410255,195,0.18202236909985028
2.0,3,atr,2.0,3.0,all,19.461468355270366,-3.2160055454607908,6.051441168296218,47.61904761904761,84,0.23168414708655197
1.3,5,atr,1.5,2.0,all,16.825488727899454,-2.7881315435930842,6.034682533743129,55.072463768115945,69,0.2438476627231805
1.5,3,atr,1.5,2.0,all,23.750202603083633,-4.003465689113682,5.932410677994754,56.502242152466366,223,0.10650315068647369
1.3,3,fixed_pct,1.0,2.0,asia_eu,36.01959361787704,-6.103228871025366,5.901727491963711,52.307692307692314,195,0.18471586470706175
2.0,3,atr,2.0,4.0,all,18.96112814224521,-3.216005545460792,5.895863012116928,41.66666666666667,84,0.22572771597910965
1.3,3,fixed_pct,0.5,4.0,asia_eu,32.31412096959646,-5.609846892122439,5.760250072951756,43.07692307692308,195,0.16571344086972542
1.5,3,atr,1.0,3.0,us,12.507892815631678,-2.267005588436442,5.517363026995621,50.81967213114754,61,0.2050474232070767
1.5,3,atr,1.0,2.0,us,7.488556305541545,-1.3865292816393062,5.400936283644696,60.65573770491803,61,0.12276321812363189
1.3,5,fixed_pct,0.5,3.0,us,11.380015095433322,-2.130933675796072,5.340389156495913,70.58823529411765,17,0.6694126526725483
1.3,3,fixed_pct,1.0,4.0,us,36.06429157779934,-6.818175337837462,5.289434458756225,49.48453608247423,97,0.3717968203896839
1.3,5,atr,1.0,3.0,overnight,7.696681335878264,-1.4633955616129546,5.2594674589520976,50.0,32,0.24052129174619574
2.0,3,atr,1.5,3.0,all,16.150162539180716,-3.073375163224832,5.254862059285554,47.61904761904761,84,0.1922638397521514
1.5,3,fixed_pct,0.5,4.0,us,19.652854687021886,-3.882028150187071,5.062522456483175,44.26229508196721,61,0.32217794568888336
1.5,5,atr,1.0,4.0,all,6.941645282282549,-1.3783964355562521,5.0360296234234285,41.37931034482759,29,0.23936707869939824
1.5,3,atr,1.5,4.0,us,14.868171790712632,-2.9631637576863867,5.0176679409448415,39.34426229508197,61,0.24374052115922346
1.5,3,atr,2.0,4.0,asia_eu,20.374402285108225,-4.133828479899515,4.928700449033504,38.16793893129771,131,0.15552978843594065
2.0,3,atr,2.0,2.0,all,17.49706255463685,-3.5532761467361653,4.924205671633105,59.523809523809526,84,0.2082983637456768
1.5,3,atr,2.0,2.0,us,16.646799120545086,-3.406312876850349,4.887043475565159,57.377049180327866,61,0.27289834623844406
1.3,5,fixed_pct,1.0,3.0,all,24.690737961140993,-5.064875632063752,4.874895210621474,56.52173913043478,69,0.35783678204552166
1.5,3,fixed_pct,0.5,4.0,all,33.02910809040766,-6.800238365795465,4.857051519920367,40.80717488789238,223,0.14811259233366664
1.3,7,atr,1.5,2.0,overnight,2.173941293060114,-0.4533177645353632,4.7956234304833325,60.0,10,0.2173941293060114
2.0,3,atr,2.0,3.0,asia_eu,11.194533973373883,-2.353562880077224,4.756420178162639,46.15384615384615,52,0.21527949948795927
1.3,7,atr,1.5,4.0,overnight,3.3905017414881296,-0.7136074570115213,4.751214001724466,50.0,10,0.33905017414881294
