strategy,exit_config,num_trades,total_return,win_rate,avg_win,avg_loss,profit_factor,max_drawdown,sharpe_ratio
mean_rev_ema50_3pct,rsi_exit_50,33,6.22959114417152,48.484848484848484,2.186973809571032,1.6439235082942447,1.252082764785521,9.882930014641714,0.49742834564699284
mean_rev_ema50_3pct,time_based_8,33,5.7407960309177275,45.45454545454545,2.241144132667335,1.505964038023154,1.240149209012784,7.207969470869491,0.4759846369982187
mean_rev_ema20_2.5pct,fixed_rr_2.5,4,5.430208640084189,25.0,16.10213728746254,3.1213029751614076,1.7195956747977312,9.191845125947374,0.38837383454701346
failed_breakout_8,time_based_16,368,5.180059259464764,35.59782608695652,1.4202259014536185,0.7421138775142243,1.0578152543890742,21.53733619587938,0.31220052204971604
mean_rev_ema20_2pct,rsi_exit_50,30,5.144782368833245,46.666666666666664,2.149695629153739,1.5102923199705682,1.245443448686925,9.882930014641722,0.4378854015128834
consec_greens_3,fixed_rr_1.5,104,4.839470487941577,36.53846153846153,0.9095230361582499,0.4353254413599556,1.2029271176024456,9.904030085051241,0.37881684342977595
consec_greens_3,fixed_rr_1.0,119,4.77683499146806,46.21848739495798,0.595340824519641,0.42233898315769014,1.2113989981373345,10.349364196206286,0.3805107000276754
consec_greens_4,fixed_pct_0.03,58,4.694334423238189,12.068965517241379,4.266486220487364,0.4758784033953651,1.2305583605640336,8.475855565450091,0.3839424889539587
vol_climax_2.5x,fixed_rr_1.5,13,4.277890544804408,38.46153846153847,3.592902360299553,1.5800054885381676,1.4212380852327497,11.058784239631123,0.3435362733747945
failed_breakout_20,time_based_16,222,3.9743108510967184,42.792792792792795,1.2932491754384812,0.9076887064088907,1.0657741014678803,17.760220883114847,0.27650538408922415
double_top_8,fixed_pct_0.02,447,3.5814914632770645,24.161073825503358,1.9901000000000026,0.6146425251910613,1.031516911549446,23.699621767878547,0.2652269831943867
vol_climax_2.5x,fixed_rr_2.5,13,3.5760590847892626,30.76923076923077,4.571688592583281,1.5116419635466336,1.344142095616677,10.83659547006083,0.29763028008606923
vol_climax_2x,fixed_rr_1.5,19,3.5490770590495657,36.84210526315789,2.745195056133108,1.2153557722645238,1.3176090650069945,11.809726396296877,0.2971067969936297
ema_10_50_cross_down,fixed_rr_1.5,103,3.233889183188654,37.86407766990291,1.612396016532784,0.9117356008679923,1.0776740774839244,17.75869530667351,0.27336746794751293
consec_greens_3,fixed_rr_2.5,98,3.0362263722643723,26.53061224489796,1.3535423875702033,0.43094718474852733,1.1341974441640266,10.133243522087062,0.26280307936895253
mean_rev_ema20_2.5pct,time_based_8,18,2.986966894946308,38.88888888888889,2.889476729061937,1.5114350093025393,1.2165643293802397,6.784738654626096,0.31235497911906124
vol_climax_2.5x,fixed_rr_1.0,13,2.898176640153749,38.46153846153847,3.322994662512425,1.5800054885381676,1.314471170598149,11.169878624416281,0.2578668490407499
consec_greens_4,fixed_pct_0.02,208,2.8582508307694043,19.230769230769234,1.9901000000000018,0.45076466380124797,1.051176747834558,7.833585296550516,0.2654918386163908
mean_rev_ema20_2.5pct,rsi_exit_50,17,2.8234814816560982,35.294117647058826,3.666610486536843,1.6732438123995257,1.1952647554839932,9.882930014641703,0.2815823323839229
vol_climax_2x,fixed_rr_1.0,19,2.719322586629569,42.10526315789473,2.238425526849691,1.2817946144752925,1.270052018727877,11.079882222690692,0.24608991396027902
vol_climax_2.5x,fixed_rr_2.0,13,2.698614980805547,30.76923076923077,4.353645690801168,1.5116419635466336,1.2800343513990982,10.947689854846013,0.24408873805805406
