entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,pnl_pct,pnl_dollars,hold_minutes,exit_reason,capital_after,entry_rsi,entry_hour
2025-11-29 17:11:00,2025-11-29 17:33:00,0.0109024485,0.010863799597178573,0.010869234214285714,0.010942200000000001,-0.4544974582675442,-40.08186193351183,22.0,Stop Loss,8778.858971376336,19.047619047618724,17
2025-11-29 17:33:00,2025-11-29 18:02:00,0.010849422,0.010806301860428571,0.010811707714285714,0.01090635,-0.49744181368766005,-43.6697152882963,29.0,Stop Loss,8735.189256088039,16.52173913043464,17
2025-11-29 20:16:00,2025-11-29 20:30:00,0.0107723835,0.010782755925,0.010741097785714285,0.01078815,-0.003712813417744345,-0.3243212787653991,14.0,Take Profit,8734.864934809273,22.222222222221802,20
2025-11-30 17:04:00,2025-11-30 17:29:00,0.0110545245,0.011002092130607143,0.011007595928571428,0.0111052,-0.5743068722029231,-50.16492959825304,25.0,Stop Loss,8684.70000521102,23.717948717948246,17
2025-12-01 17:15:00,2025-12-01 17:46:00,0.0093616785,0.009441826725,0.009298892785714285,0.00944655,0.756130927803167,65.66770272632378,31.0,Take Profit,8750.367707937343,24.05063291139237,17
2025-12-01 19:25:00,2025-12-01 19:37:00,0.009402698999999999,0.009453720775,0.009358984714285713,0.00945845,0.4426290366202569,38.731668286373115,12.0,Take Profit,8789.099376223716,20.895522388059817,19
2025-12-02 19:03:00,2025-12-02 19:24:00,0.012152073,0.012238927475000001,0.012035930142857143,0.01224505,0.6147297008502252,54.029204302889056,21.0,Take Profit,8843.128580526605,24.709302325580964,19
2025-12-02 19:55:00,2025-12-02 20:19:00,0.0119489715,0.011842975621392858,0.011848900071428572,0.01217705,-0.9870711475639782,-87.2879707603621,24.0,Stop Loss,8755.840609766243,5.630026809651525,19
2025-12-03 18:56:00,2025-12-03 19:04:00,0.0116868405,0.011731881125000003,0.011636697642857144,0.011737750000000002,0.28539607860654803,24.98882574931252,8.0,Take Profit,8780.829435515556,17.53246753246802,18
2025-12-05 16:05:00,2025-12-05 16:07:00,0.010957475999999999,0.010872537011999998,0.010877975999999998,0.01102295,-0.875169281684951,-76.84712189678223,2.0,Stop Loss,8703.982313618773,23.50230414746555,16
2025-12-05 16:07:00,2025-12-05 16:37:00,0.010886440499999999,0.010791898994035714,0.010797297642857142,0.011010250000000001,-0.9684335891450013,-84.29228831832441,30.0,Stop Loss,8619.69002530045,20.94861660079077,16
2025-12-05 16:39:00,2025-12-05 16:41:00,0.010799396999999999,0.010704470658642858,0.010709825571428572,0.010903850000000001,-0.9789966824734875,-84.38647938718952,2.0,Stop Loss,8535.30354591326,10.648148148148309,16
2025-12-05 16:41:00,2025-12-05 16:49:00,0.010688341499999999,0.01056905432925,0.010574341499999999,0.0108776,-1.2160493959703533,-103.79350721431437,8.0,Stop Loss,8431.510038698947,7.718120805369253,16
2025-12-06 16:30:00,2025-12-06 16:42:00,0.010855425,0.010909642450000001,0.010812996428571428,0.0109151,0.39945027486257845,33.67969002464884,12.0,Take Profit,8465.189728723595,20.168067226890642,16
2025-12-06 19:30:00,2025-12-06 19:32:00,0.010843419,0.010798802611928572,0.010804204714285713,0.010875550000000001,-0.5114605187849673,-43.29610330266147,2.0,Stop Loss,8421.893625420933,17.142857142857608,19
2025-12-06 19:32:00,2025-12-06 20:03:00,0.0107983965,0.010860217175,0.010753396499999998,0.010865650000000001,0.4724986575553315,39.79333432085195,31.0,Take Profit,8461.686959741784,9.923664122137993,19
