trade_id,entry_timestamp,entry_price,direction,position_size,leverage,stop_loss_pct,take_profit_pct,regime,confidence,capital_before,exit_timestamp,exit_price,pnl_pct,leveraged_pnl,net_pnl,pnl_dollars,exit_reason,capital_after
337,2025-06-09 19:30:00,1.1631,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13259.52069848128,2025-06-09 23:30:00,1.2328860000000001,6.0,18.0,17.8,236.01946843296682,TAKE_PROFIT,13495.540166914247
338,2025-06-10 01:00:00,1.2022,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13495.540166914247,2025-06-10 09:15:00,1.274332,6.0,18.0,17.8,240.22061497107364,TAKE_PROFIT,13735.76078188532
339,2025-06-10 13:15:00,1.2909,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13735.76078188532,2025-06-10 22:30:00,1.368354,6.0,18.0,17.8,244.49654191755872,TAKE_PROFIT,13980.257323802878
340,2025-06-11 00:15:00,1.3427,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13980.257323802878,2025-06-11 12:30:00,1.423262,6.0,18.0,17.8,248.8485803636913,TAKE_PROFIT,14229.105904166569
341,2025-06-11 17:30:00,1.4346,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,14229.105904166569,2025-06-11 18:00:00,1.391562,-3.0,-9.0,-9.2,-130.90777431833243,STOP_LOSS,14098.198129848237
342,2025-06-11 19:15:00,1.4128,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,14098.198129848237,2025-06-11 21:45:00,1.370416,-3.0,-9.0,-9.2,-129.7034227946038,STOP_LOSS,13968.494707053633
343,2025-06-12 12:15:00,1.3235,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13968.494707053633,2025-06-12 14:15:00,1.363205,-3.0,-9.0,-9.2,-128.5101513048934,STOP_LOSS,13839.984555748739
344,2025-06-13 12:00:00,1.1027,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.6,13839.984555748739,2025-06-13 13:30:00,1.1357810000000002,-3.0,-9.0,-9.2,-127.3278579128884,STOP_LOSS,13712.65669783585
345,2025-06-13 17:15:00,1.1535,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13712.65669783585,2025-06-13 20:15:00,1.22271,6.0,18.0,17.8,244.08528922147818,TAKE_PROFIT,13956.741987057329
346,2025-06-14 00:45:00,1.2609,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13956.741987057329,2025-06-14 07:00:00,1.2230729999999999,-3.0,-9.0,-9.2,-128.40202628092743,STOP_LOSS,13828.3399607764
347,2025-06-14 10:15:00,1.2197,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13828.3399607764,2025-06-14 18:30:00,1.146518,6.0,18.0,17.8,246.14445130182,TAKE_PROFIT,14074.48441207822
348,2025-06-14 21:15:00,1.1532,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14074.48441207822,2025-06-14 23:00:00,1.187796,-3.0,-9.0,-9.2,-129.48525659111962,STOP_LOSS,13944.999155487101
349,2025-06-15 01:15:00,1.188,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13944.999155487101,2025-06-15 20:45:00,1.1523599999999998,-3.0,-9.0,-9.2,-128.29399223048134,STOP_LOSS,13816.70516325662
350,2025-06-17 14:30:00,1.1422,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13816.70516325662,2025-06-18 08:30:00,1.073668,6.0,18.0,17.8,245.93735190596786,TAKE_PROFIT,14062.642515162588
351,2025-06-18 11:15:00,1.0839,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14062.642515162588,2025-06-18 14:15:00,1.1164170000000002,-3.0,-9.0,-9.2,-129.3763111394958,STOP_LOSS,13933.266204023092
352,2025-06-18 18:45:00,1.1129,LONG,0.1,3,3.0,6.0,BULL_RUN,0.6,13933.266204023092,2025-06-19 12:00:00,1.079513,-3.0,-9.0,-9.2,-128.18604907701246,STOP_LOSS,13805.08015494608
353,2025-06-19 17:30:00,1.0413,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13805.08015494608,2025-06-20 14:15:00,0.9788219999999999,6.0,18.0,17.8,245.73042675804027,TAKE_PROFIT,14050.81058170412
354,2025-06-20 18:00:00,0.945,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14050.81058170412,2025-06-21 15:45:00,0.8882999999999999,6.0,18.0,17.8,250.10442835433335,TAKE_PROFIT,14300.915010058454
355,2025-06-21 20:15:00,0.8548,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14300.915010058454,2025-06-21 21:30:00,0.880444,-3.0,-9.0,-9.2,-131.56841809253777,STOP_LOSS,14169.346591965916
356,2025-06-21 22:00:00,0.8612,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14169.346591965916,2025-06-21 23:45:00,0.8870359999999999,-3.0,-9.0,-9.2,-130.35798864608643,STOP_LOSS,14038.988603319829
357,2025-06-22 05:00:00,0.8709,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14038.988603319829,2025-06-22 06:30:00,0.897027,-3.0,-9.0,-9.2,-129.15869515054243,STOP_LOSS,13909.829908169286
358,2025-06-22 08:00:00,0.8781,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13909.829908169286,2025-06-22 13:15:00,0.825414,6.0,18.0,17.8,247.59497236541333,TAKE_PROFIT,14157.4248805347
359,2025-06-22 14:30:00,0.8353,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14157.4248805347,2025-06-22 14:45:00,0.8603590000000001,-3.0,-9.0,-9.2,-130.24830890091923,STOP_LOSS,14027.176571633781
360,2025-06-22 15:45:00,0.847,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.6,14027.176571633781,2025-06-22 17:00:00,0.87241,-3.0,-9.0,-9.2,-129.0500244590308,STOP_LOSS,13898.12654717475
361,2025-06-22 18:45:00,0.8545,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.6,13898.12654717475,2025-06-22 20:30:00,0.8801350000000001,-3.0,-9.0,-9.2,-127.86276423400771,STOP_LOSS,13770.263782940743
362,2025-06-23 02:30:00,0.9277,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13770.263782940743,2025-06-23 11:15:00,0.8998689999999999,-3.0,-9.0,-9.2,-126.68642680305484,STOP_LOSS,13643.577356137688
363,2025-06-24 15:15:00,1.0468,LONG,0.1,3,3.0,6.0,BULL_RUN,0.6,13643.577356137688,2025-06-24 18:45:00,1.015396,-3.0,-9.0,-9.2,-125.52091167646674,STOP_LOSS,13518.056444461221
364,2025-06-25 05:30:00,1.0787,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13518.056444461221,2025-06-25 14:15:00,1.046339,-3.0,-9.0,-9.2,-124.36611928904324,STOP_LOSS,13393.690325172178
365,2025-06-25 20:15:00,1.0138,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,13393.690325172178,2025-06-26 14:00:00,0.9529719999999999,6.0,18.0,17.8,238.4076877880648,TAKE_PROFIT,13632.098012960243
366,2025-06-26 14:45:00,0.9727,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.6,13632.098012960243,2025-06-26 20:30:00,1.001881,-3.0,-9.0,-9.2,-125.41530171923424,STOP_LOSS,13506.682711241008
367,2025-06-27 01:15:00,0.9593,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.6,13506.682711241008,2025-06-27 06:30:00,0.988079,-3.0,-9.0,-9.2,-124.2614809434173,STOP_LOSS,13382.42123029759
368,2025-06-27 11:45:00,1.006,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13382.42123029759,2025-06-27 14:45:00,0.97582,-3.0,-9.0,-9.2,-123.11827531873783,STOP_LOSS,13259.302954978852
369,2025-06-27 23:15:00,0.9961,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13259.302954978852,2025-06-28 08:00:00,1.055866,6.0,18.0,17.8,236.0155925986236,TAKE_PROFIT,13495.318547577475
370,2025-06-28 08:45:00,1.0433,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13495.318547577475,2025-06-28 17:45:00,1.105898,6.0,18.0,17.8,240.2166701468791,TAKE_PROFIT,13735.535217724355
371,2025-06-28 20:00:00,1.084,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13735.535217724355,2025-06-29 07:45:00,1.14904,6.0,18.0,17.8,244.49252687549355,TAKE_PROFIT,13980.027744599849
372,2025-06-29 09:45:00,1.1212,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,13980.027744599849,2025-06-30 19:45:00,1.188472,6.0,18.0,17.8,248.84449385387734,TAKE_PROFIT,14228.872238453727
373,2025-06-30 22:30:00,1.1527,LONG,0.1,3,3.0,6.0,BULL_RUN,0.6,14228.872238453727,2025-07-01 04:45:00,1.118119,-3.0,-9.0,-9.2,-130.9056245937743,STOP_LOSS,14097.966613859953
374,2025-07-01 07:45:00,1.1155,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14097.966613859953,2025-07-01 18:45:00,1.0485699999999998,6.0,18.0,17.8,250.94380572670718,TAKE_PROFIT,14348.91041958666
375,2025-07-01 20:45:00,1.0683,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14348.91041958666,2025-07-02 01:15:00,1.004202,6.0,18.0,17.8,255.41060546864261,TAKE_PROFIT,14604.321025055302
376,2025-07-02 02:15:00,1.0249,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14604.321025055302,2025-07-02 04:45:00,1.055647,-3.0,-9.0,-9.2,-134.3597534305088,STOP_LOSS,14469.961271624794
377,2025-07-02 08:30:00,1.0592,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,14469.961271624794,2025-07-02 16:00:00,1.122752,6.0,18.0,17.8,257.5653106349214,TAKE_PROFIT,14727.526582259716
378,2025-07-02 17:30:00,1.0963,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,14727.526582259716,2025-07-02 20:15:00,1.1620780000000002,6.0,18.0,17.8,262.14997316422296,TAKE_PROFIT,14989.67655542394
379,2025-07-02 23:30:00,1.1641,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,14989.67655542394,2025-07-03 02:30:00,1.1291769999999999,-3.0,-9.0,-9.2,-137.90502430990023,STOP_LOSS,14851.771531114038
380,2025-07-03 03:15:00,1.1567,LONG,0.1,3,3.0,6.0,BULL_RUN,0.6,14851.771531114038,2025-07-03 07:45:00,1.226102,6.0,18.0,17.8,264.3615332538299,TAKE_PROFIT,15116.133064367868
381,2025-07-03 17:45:00,1.1885,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.6,15116.133064367868,2025-07-03 19:15:00,1.2241549999999999,-3.0,-9.0,-9.2,-139.06842419218438,STOP_LOSS,14977.064640175684
382,2025-07-03 23:15:00,1.2211,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,14977.064640175684,2025-07-04 06:00:00,1.184467,-3.0,-9.0,-9.2,-137.78899468961632,STOP_LOSS,14839.275645486068
383,2025-07-04 09:15:00,1.1843,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14839.275645486068,2025-07-05 07:15:00,1.2198289999999998,-3.0,-9.0,-9.2,-136.52133593847182,STOP_LOSS,14702.754309547596
384,2025-07-05 09:00:00,1.2002,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,14702.754309547596,2025-07-05 17:15:00,1.164194,-3.0,-9.0,-9.2,-135.2653396478379,STOP_LOSS,14567.488969899758
385,2025-07-05 19:15:00,1.1665,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14567.488969899758,2025-07-06 04:00:00,1.2014950000000002,-3.0,-9.0,-9.2,-134.0208985230778,STOP_LOSS,14433.46807137668
386,2025-07-06 05:00:00,1.1883,LONG,0.1,3,3.0,6.0,BULL_RUN,0.6,14433.46807137668,2025-07-06 13:00:00,1.1526509999999999,-3.0,-9.0,-9.2,-132.78790625666545,STOP_LOSS,14300.680165120013
387,2025-07-06 15:30:00,1.1773,LONG,0.1,3,3.0,6.0,BULL_RUN,0.8,14300.680165120013,2025-07-07 19:45:00,1.141981,-3.0,-9.0,-9.2,-131.5662575191041,STOP_LOSS,14169.11390760091
388,2025-07-08 00:45:00,1.1152,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14169.11390760091,2025-07-08 14:15:00,1.0482879999999999,6.0,18.0,17.8,252.21022755529623,TAKE_PROFIT,14421.324135156206
389,2025-07-08 17:15:00,1.0536,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14421.324135156206,2025-07-08 18:45:00,1.0852080000000002,-3.0,-9.0,-9.2,-132.6761820434371,STOP_LOSS,14288.64795311277
390,2025-07-08 19:30:00,1.0711,SHORT,0.1,3,3.0,6.0,BEAR_TREND,0.8,14288.64795311277,2025-07-09 19:45:00,1.103233,-3.0,-9.0,-9.2,-131.45556116863747,STOP_LOSS,14157.192391944132
