trade_num,entry_time,exit_time,type,signal_price,stop,target,filled,result,gross_pnl_pct,entry_fee_pct,exit_fee_pct,profit_after_fees_pct,winner,running_balance
69,2025-12-03 14:01:00,2025-12-03 14:02:00,LONG,3071.11,3064.2957142857144,3084.7385714285715,YES,STOP,-0.18694891119605594,0.02,0.05,-0.25694891119605595,LOSS,10233.012604917383
70,2025-12-03 14:03:00,2025-12-03 14:05:00,LONG,3042.23,3031.5071428571428,3063.6757142857145,YES,STOP,-0.31757816316356813,0.02,0.05,-0.38757816316356813,LOSS,10193.351682626948
71,2025-12-04 14:51:00,2025-12-04 14:58:00,LONG,3157.17,3143.624285714286,3184.2614285714285,YES,STOP,-0.39418404954148334,0.02,0.05,-0.46418404954148335,LOSS,10146.035770002525
72,2025-12-04 23:00:00,2025-12-04 23:41:00,LONG,3136.99,3132.622857142857,3145.724285714285,YES,STOP,-0.10425092131261546,0.02,0.05,-0.17425092131261544,LOSS,10128.356209196589
73,2025-12-05 08:04:00,2025-12-05 08:15:00,LONG,3164.53,3160.1757142857145,3173.2385714285715,YES,STOP,-0.10263252227726598,0.02,0.05,-0.17263252227726597,LOSS,10110.871372407426
74,2025-12-05 11:24:00,2025-12-05 11:33:00,LONG,3126.6,3121.3928571428573,3137.0142857142855,YES,STOP,-0.13158935753345632,0.02,0.05,-0.2015893575334563,LOSS,10090.488931766755
75,2025-12-05 15:02:00,2025-12-05 15:04:00,SHORT,3131.78,3143.8214285714284,3107.6971428571433,YES,STOP,-0.34936924224590477,0.02,0.05,-0.41936924224590477,LOSS,10048.172524794698
76,2025-12-05 19:56:00,2025-12-05 20:38:00,SHORT,3043.35,3051.258571428571,3027.532857142857,YES,TP,0.5545339383944665,0.02,0.05,0.4845339383944665,WIN,10096.859330865756
77,2025-12-05 23:28:00,2025-12-06 00:02:00,SHORT,3024.73,3028.9442857142853,3016.301428571429,NO,SKIP,0.0,0.0,0.0,0.0,SKIP,10096.859330865756
78,2025-12-06 02:36:00,2025-12-06 03:04:00,SHORT,3029.22,3032.2442857142855,3023.1714285714284,YES,STOP,-0.06481442530579958,0.02,0.05,-0.13481442530579957,LOSS,10083.247307984915
79,2025-12-06 03:06:00,2025-12-06 03:09:00,SHORT,3040.43,3044.081428571428,3033.127142857143,YES,STOP,-0.0850660216131836,0.02,0.05,-0.1550660216131836,LOSS,10067.611617535005
80,2025-12-06 09:11:00,2025-12-06 09:26:00,SHORT,3024.08,3029.165714285714,3013.9085714285716,YES,STOP,-0.13312733884962144,0.02,0.05,-0.20312733884962142,LOSS,10047.161545970592
81,2025-12-06 14:15:00,2025-12-06 14:17:00,SHORT,3050.38,3054.7785714285715,3041.5828571428574,YES,STOP,-0.10915928533554631,0.02,0.05,-0.17915928533554631,LOSS,10029.161123148324
82,2025-12-06 16:37:00,2025-12-06 16:39:00,SHORT,3061.58,3065.3971428571426,3053.945714285714,YES,STOP,-0.0896474773453432,0.02,0.05,-0.15964747734534318,LOSS,10013.149820416318
