trade_num,entry_time,exit_time,signal_price,limit_price,max_price,stop,target,filled,result,actual_entry,exit_price,gross_pnl_pct,entry_fee_pct,exit_fee_pct,total_fee_pct,profit_after_fees_pct,winner,profit_after_fees_dollar,running_balance
27,2025-11-18 14:25:00,2025-11-18 14:32:00,3061.71,3062.7815985,3086.53,3070.862857142857,3043.404285714286,YES,STOP,3062.7815985,3070.862857142857,-0.2638535717602176,0.02,0.05,0.06999999999999999,-0.3338535717602176,LOSS,-33.6868542843216,10056.621332838018
28,2025-11-19 01:21:00,2025-11-19 02:15:00,3113.48,3114.569718,3123.85,3123.4085714285716,3093.6228571428574,YES,STOP,3114.569718,3123.4085714285716,-0.2837905145448853,0.02,0.05,0.06999999999999999,-0.3537905145448853,LOSS,-35.57937235927833,10021.04196047874
29,2025-11-19 06:32:00,2025-11-19 07:05:00,3042.3,3043.3648050000006,3051.7,3049.694285714286,3027.511428571429,YES,STOP,3043.3648050000006,3049.694285714286,-0.2079764050595039,0.02,0.05,0.06999999999999999,-0.2779764050595039,LOSS,-27.85613219124323,9993.185828287496
30,2025-11-19 07:33:00,2025-11-19 07:39:00,3062.33,3063.4018155000003,3070.02,3069.205714285714,3048.5785714285716,YES,STOP,3063.4018155000003,3069.205714285714,-0.18945927224914838,0.02,0.05,0.06999999999999999,-0.2594592722491484,LOSS,-25.92824722457977,9967.257581062917
31,2025-11-19 08:26:00,2025-11-19 08:28:00,3092.07,3093.1522245000006,3100.16,3099.4157142857143,3077.378571428572,YES,STOP,3093.1522245000006,3099.4157142857143,-0.20249536172524613,0.02,0.05,0.06999999999999999,-0.27249536172524613,LOSS,-27.160314599604416,9940.097266463312
32,2025-11-19 21:20:00,2025-11-19 21:23:00,2978.93,2979.9726255,2996.28,2994.9342857142856,2946.9214285714284,YES,STOP,2979.9726255,2994.9342857142856,-0.502073746794072,0.02,0.05,0.06999999999999999,-0.572073746794072,LOSS,-56.864686867231796,9883.23257959608
33,2025-11-20 01:53:00,2025-11-20 02:06:00,3049.52,3050.587332,3058.03,3056.0942857142854,3036.371428571429,YES,STOP,3050.587332,3056.0942857142854,-0.1805210969218492,0.02,0.05,0.06999999999999999,-0.2505210969218492,LOSS,-24.759582669741675,9858.472996926339
34,2025-11-20 13:13:00,2025-11-20 13:20:00,3037.34,3038.4030690000004,3038.12,3044.852857142857,3022.314285714286,NO,SKIPPED,,,0.0,0.0,0.0,0.0,0.0,SKIP,0.0,9858.472996926339
35,2025-11-20 21:19:00,2025-11-20 21:21:00,2862.68,2863.681938,2879.72,2871.722857142857,2844.5942857142854,YES,STOP,2863.681938,2871.722857142857,-0.28078953308873494,0.02,0.05,0.06999999999999999,-0.35078953308873495,LOSS,-34.58249139559692,9823.890505530742
36,2025-11-21 10:10:00,2025-11-21 12:18:00,2704.69,2705.6366415,2722.98,2724.1985714285715,2665.672857142857,YES,TP,2705.6366415,2665.672857142857,1.4770565915675689,0.02,0.05,0.06999999999999999,1.4070565915675688,WIN,138.22769890645088,9962.118204437193
37,2025-11-21 21:17:00,2025-11-21 21:22:00,2752.47,2753.4333645,2763.2,2763.0328571428568,2731.3442857142854,YES,STOP,2753.4333645,2763.0328571428568,-0.34863718754275314,0.02,0.05,0.06999999999999999,-0.41863718754275314,LOSS,-41.70513147074048,9920.413072966452
38,2025-11-22 18:09:00,2025-11-22 18:31:00,2753.8,2754.7638300000003,2754.87,2757.795714285714,2745.808571428572,YES,TP,2754.7638300000003,2745.808571428572,0.32508262501138624,0.02,0.05,0.06999999999999999,0.25508262501138623,WIN,25.305250078495554,9945.718323044948
39,2025-11-22 22:15:00,2025-11-22 22:51:00,2767.63,2768.5986705000005,2773.6,2773.46,2755.9700000000003,YES,STOP,2768.5986705000005,2773.46,-0.1755880890862963,0.02,0.05,0.06999999999999999,-0.2455880890862963,LOSS,-24.425499575471722,9921.292823469477
40,2025-11-22 22:53:00,2025-11-22 23:09:00,2793.59,2794.5677565000005,2798.99,2801.4785714285713,2777.8128571428574,YES,TP,2794.5677565000005,2777.8128571428574,0.5995524466412461,0.02,0.05,0.06999999999999999,0.5295524466412461,WIN,52.538448885124986,9973.831272354602
41,2025-11-23 08:01:00,2025-11-23 08:02:00,2798.01,2798.9893035000005,2802.04,2801.7442857142855,2790.541428571429,YES,STOP,2798.9893035000005,2801.7442857142855,-0.09842775071845014,0.02,0.05,0.06999999999999999,-0.16842775071845012,LOSS,-16.798699672480232,9957.032572682123
42,2025-11-23 09:18:00,2025-11-23 09:41:00,2814.65,2815.6351275,2819.59,2819.3714285714286,2805.207142857143,YES,STOP,2815.6351275,2819.3714285714286,-0.13269833988560517,0.02,0.05,0.06999999999999999,-0.20269833988560515,LOSS,-20.182739726695623,9936.849832955428
43,2025-11-23 12:16:00,2025-11-23 12:17:00,2837.84,2838.8332440000004,2846.58,2843.8985714285714,2825.7228571428573,YES,STOP,2838.8332440000004,2843.8985714285714,-0.17842990387958768,0.02,0.05,0.06999999999999999,-0.2484299038795877,LOSS,-24.686106488670138,9912.163726466757
44,2025-11-24 04:11:00,2025-11-24 04:15:00,2868.08,2869.0838280000003,2870.41,2874.4214285714284,2855.397142857143,YES,TP,2869.0838280000003,2855.397142857143,0.4770402666274826,0.02,0.05,0.06999999999999999,0.4070402666274826,WIN,40.3464976607629,9952.51022412752
45,2025-11-24 05:06:00,2025-11-24 05:07:00,2842.43,2843.4248505,2858.41,2848.9971428571425,2829.295714285714,YES,STOP,2843.4248505,2848.9971428571425,-0.19597114923443928,0.02,0.05,0.06999999999999999,-0.26597114923443926,LOSS,-26.47080582078703,9926.039418306733
46,2025-11-24 05:08:00,2025-11-24 05:10:00,2866.61,2867.6133135000005,2877.84,2876.1557142857146,2847.5185714285717,YES,STOP,2867.6133135000005,2876.1557142857146,-0.2978923533901394,0.02,0.05,0.06999999999999999,-0.3678923533901394,LOSS,-36.517140014441544,9889.522278292292
47,2025-11-24 08:55:00,2025-11-24 08:57:00,2834.55,2835.5420925000003,2842.14,2839.3,2825.0500000000006,YES,STOP,2835.5420925000003,2839.3,-0.13252871505379965,0.02,0.05,0.06999999999999999,-0.20252871505379966,LOSS,-20.029122395184633,9869.493155897107
48,2025-11-24 13:07:00,2025-11-24 13:38:00,2818.61,2819.5965135,2826.13,2823.388571428571,2809.0528571428576,YES,STOP,2819.5965135,2823.388571428571,-0.13448938209474104,0.02,0.05,0.06999999999999999,-0.20448938209474105,LOSS,-20.182065570376754,9849.311090326732
49,2025-11-24 14:31:00,2025-11-24 14:35:00,2832.61,2833.6014135000005,2848.5,2842.441428571429,2812.9471428571433,YES,STOP,2833.6014135000005,2842.441428571429,-0.31197101431811153,0.02,0.05,0.06999999999999999,-0.38197101431811153,LOSS,-37.62151347506727,9811.689576851664
50,2025-11-24 21:30:00,2025-11-24 21:38:00,2973.11,2974.1505885,2973.29,2977.9700000000003,2963.3900000000003,NO,SKIPPED,,,0.0,0.0,0.0,0.0,0.0,SKIP,0.0,9811.689576851664
51,2025-11-24 22:06:00,2025-11-24 22:15:00,2978.23,2979.2723805,2980.1,2984.8542857142857,2964.9814285714288,YES,TP,2979.2723805,2964.9814285714288,0.4796792673979311,0.02,0.05,0.06999999999999999,0.4096792673979311,WIN,40.19645797780506,9851.88603482947
52,2025-11-25 12:13:00,2025-11-25 12:14:00,2913.82,2914.8398370000004,2924.05,2921.0385714285712,2899.3828571428576,YES,STOP,2914.8398370000004,2921.0385714285712,-0.212661236129894,0.02,0.05,0.06999999999999999,-0.28266123612989397,LOSS,-27.847462848157374,9824.038571981311
53,2025-11-25 15:30:00,2025-11-25 15:45:00,2897.11,2898.1239885000005,2914.61,2910.497142857143,2870.335714285715,YES,STOP,2898.1239885000005,2910.497142857143,-0.42693668063341167,0.02,0.05,0.06999999999999999,-0.4969366806334117,LOSS,-48.81925118374995,9775.219320797562
54,2025-11-25 16:21:00,2025-11-25 16:29:00,2918.89,2919.9116115,2929.98,2929.6485714285714,2897.3728571428574,YES,STOP,2919.9116115,2929.6485714285714,-0.3334676258768388,0.02,0.05,0.06999999999999999,-0.4034676258768388,LOSS,-39.439845317875964,9735.779475479685
55,2025-11-25 21:41:00,2025-11-25 21:56:00,2944.73,2945.7606555,2945.61,2949.522857142857,2935.1442857142856,NO,SKIPPED,,,0.0,0.0,0.0,0.0,0.0,SKIP,0.0,9735.779475479685
56,2025-11-25 22:57:00,2025-11-25 22:58:00,2968.86,2969.8991010000004,2977.65,2977.0014285714287,2952.5771428571434,YES,STOP,2969.8991010000004,2977.0014285714287,-0.23914373283041387,0.02,0.05,0.06999999999999999,-0.30914373283041385,LOSS,-30.097552090635183,9705.68192338905
57,2025-11-26 00:20:00,2025-11-26 00:38:00,2966.65,2967.6883275000005,2971.84,2972.905714285714,2954.138571428572,YES,TP,2967.6883275000005,2954.138571428572,0.4565761150141672,0.02,0.05,0.06999999999999999,0.3865761150141672,WIN,37.519848115069685,9743.201771504118
58,2025-11-26 01:27:00,2025-11-26 01:31:00,2961.41,2962.4464935,2966.88,2966.4414285714283,2951.3471428571424,YES,STOP,2962.4464935,2966.4414285714283,-0.13485256460137462,0.02,0.05,0.06999999999999999,-0.20485256460137463,LOSS,-19.95919870321275,9723.242572800906
59,2025-11-26 05:07:00,2025-11-26 05:08:00,2936.23,2937.2576805000003,2939.14,2938.885714285714,2930.918571428572,YES,STOP,2937.2576805000003,2938.885714285714,-0.05542699901755509,0.02,0.05,0.06999999999999999,-0.12542699901755508,LOSS,-12.19557136626149,9711.047001434645
60,2025-11-26 13:05:00,2025-11-26 13:18:00,2906.67,2907.6873345000004,2913.58,2910.712857142857,2898.584285714286,YES,STOP,2907.6873345000004,2910.712857142857,-0.10405254399118358,0.02,0.05,0.06999999999999999,-0.17405254399118358,LOSS,-16.90232435417655,9694.144677080469
